2016:07:06 09:07:02,1514 records sent, 302.8 records/sec (29.57 MB/sec), 60.1 ms avg latency, 405.0 max latency.
2016:07:06 09:07:07,1529 records sent, 305.7 records/sec (29.85 MB/sec), 3.4 ms avg latency, 63.0 max latency.
2016:07:06 09:07:12,1519 records sent, 303.8 records/sec (29.67 MB/sec), 10.3 ms avg latency, 241.0 max latency.
2016:07:06 09:07:17,1525 records sent, 304.6 records/sec (29.74 MB/sec), 2.9 ms avg latency, 63.0 max latency.
2016:07:06 09:07:22,1536 records sent, 307.2 records/sec (30.00 MB/sec), 2.6 ms avg latency, 77.0 max latency.
2016:07:06 09:07:27,1533 records sent, 306.5 records/sec (29.94 MB/sec), 2.1 ms avg latency, 42.0 max latency.
2016:07:06 09:07:32,1546 records sent, 309.2 records/sec (30.20 MB/sec), 4.0 ms avg latency, 66.0 max latency.
2016:07:06 09:07:37,1542 records sent, 308.2 records/sec (30.10 MB/sec), 3.2 ms avg latency, 86.0 max latency.
2016:07:06 09:07:42,1544 records sent, 308.8 records/sec (30.16 MB/sec), 2.1 ms avg latency, 39.0 max latency.
2016:07:06 09:07:47,1536 records sent, 307.0 records/sec (29.98 MB/sec), 6.7 ms avg latency, 180.0 max latency.
2016:07:06 09:07:53,1546 records sent, 309.1 records/sec (30.18 MB/sec), 2.6 ms avg latency, 61.0 max latency.
2016:07:06 09:07:58,1545 records sent, 308.9 records/sec (30.17 MB/sec), 2.0 ms avg latency, 37.0 max latency.
2016:07:06 09:08:03,1516 records sent, 303.2 records/sec (29.61 MB/sec), 2.5 ms avg latency, 95.0 max latency.
2016:07:06 09:08:08,1571 records sent, 314.2 records/sec (30.68 MB/sec), 5.2 ms avg latency, 96.0 max latency.
2016:07:06 09:08:13,1550 records sent, 309.8 records/sec (30.26 MB/sec), 4.9 ms avg latency, 62.0 max latency.
2016:07:06 09:08:18,1545 records sent, 308.9 records/sec (30.16 MB/sec), 2.1 ms avg latency, 39.0 max latency.
2016:07:06 09:08:23,1538 records sent, 307.6 records/sec (30.04 MB/sec), 19.0 ms avg latency, 335.0 max latency.
2016:07:06 09:08:28,1547 records sent, 309.4 records/sec (30.21 MB/sec), 9.0 ms avg latency, 196.0 max latency.
2016:07:06 09:08:33,1538 records sent, 307.6 records/sec (30.04 MB/sec), 2.2 ms avg latency, 42.0 max latency.
2016:07:06 09:08:38,1541 records sent, 308.1 records/sec (30.09 MB/sec), 2.1 ms avg latency, 42.0 max latency.
2016:07:06 09:08:43,1543 records sent, 308.6 records/sec (30.14 MB/sec), 4.0 ms avg latency, 90.0 max latency.
2016:07:06 09:08:48,1545 records sent, 308.9 records/sec (30.17 MB/sec), 2.2 ms avg latency, 44.0 max latency.
2016:07:06 09:08:53,1544 records sent, 308.7 records/sec (30.14 MB/sec), 2.1 ms avg latency, 38.0 max latency.
2016:07:06 09:08:58,1551 records sent, 310.1 records/sec (30.28 MB/sec), 15.4 ms avg latency, 302.0 max latency.
2016:07:06 09:09:03,1545 records sent, 308.9 records/sec (30.16 MB/sec), 13.1 ms avg latency, 262.0 max latency.
2016:07:06 09:09:08,1545 records sent, 308.9 records/sec (30.16 MB/sec), 2.4 ms avg latency, 54.0 max latency.
2016:07:06 09:09:13,1547 records sent, 309.4 records/sec (30.21 MB/sec), 2.1 ms avg latency, 45.0 max latency.
2016:07:06 09:09:18,1548 records sent, 309.5 records/sec (30.22 MB/sec), 16.4 ms avg latency, 321.0 max latency.
2016:07:06 09:09:23,1549 records sent, 309.8 records/sec (30.25 MB/sec), 2.3 ms avg latency, 42.0 max latency.
2016:07:06 09:09:28,1545 records sent, 309.0 records/sec (30.18 MB/sec), 2.1 ms avg latency, 40.0 max latency.
2016:07:06 09:09:33,1548 records sent, 309.3 records/sec (30.20 MB/sec), 10.0 ms avg latency, 132.0 max latency.
