2016:07:05 23:39:51,5115 records sent, 1023.0 records/sec (1.00 MB/sec), 1.2 ms avg latency, 245.0 max latency.
2016:07:05 23:39:56,5125 records sent, 1024.8 records/sec (1.00 MB/sec), 0.6 ms avg latency, 14.0 max latency.
2016:07:05 23:40:01,5125 records sent, 1024.6 records/sec (1.00 MB/sec), 0.6 ms avg latency, 7.0 max latency.
2016:07:05 23:40:06,5124 records sent, 1024.4 records/sec (1.00 MB/sec), 0.6 ms avg latency, 11.0 max latency.
2016:07:05 23:40:11,5122 records sent, 1024.2 records/sec (1.00 MB/sec), 0.6 ms avg latency, 11.0 max latency.
2016:07:05 23:40:16,5121 records sent, 1024.2 records/sec (1.00 MB/sec), 0.7 ms avg latency, 31.0 max latency.
2016:07:05 23:40:21,5121 records sent, 1024.2 records/sec (1.00 MB/sec), 1.2 ms avg latency, 67.0 max latency.
2016:07:05 23:40:26,5121 records sent, 1024.2 records/sec (1.00 MB/sec), 0.6 ms avg latency, 9.0 max latency.
2016:07:05 23:40:31,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.7 ms avg latency, 31.0 max latency.
2016:07:05 23:40:36,5123 records sent, 1024.2 records/sec (1.00 MB/sec), 0.6 ms avg latency, 9.0 max latency.
2016:07:05 23:40:41,5124 records sent, 1024.4 records/sec (1.00 MB/sec), 0.7 ms avg latency, 26.0 max latency.
2016:07:05 23:40:46,5125 records sent, 1024.6 records/sec (1.00 MB/sec), 0.7 ms avg latency, 8.0 max latency.
2016:07:05 23:40:51,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.8 ms avg latency, 33.0 max latency.
2016:07:05 23:40:56,5127 records sent, 1024.8 records/sec (1.00 MB/sec), 0.7 ms avg latency, 9.0 max latency.
2016:07:05 23:41:01,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.7 ms avg latency, 17.0 max latency.
2016:07:05 23:41:06,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.7 ms avg latency, 10.0 max latency.
2016:07:05 23:41:11,5124 records sent, 1024.6 records/sec (1.00 MB/sec), 0.6 ms avg latency, 7.0 max latency.
2016:07:05 23:41:16,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.6 ms avg latency, 10.0 max latency.
2016:07:05 23:41:21,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.7 ms avg latency, 8.0 max latency.
2016:07:05 23:41:26,5123 records sent, 1024.2 records/sec (1.00 MB/sec), 0.7 ms avg latency, 9.0 max latency.
2016:07:05 23:41:31,5123 records sent, 1024.4 records/sec (1.00 MB/sec), 0.6 ms avg latency, 9.0 max latency.
2016:07:05 23:41:36,5122 records sent, 1024.2 records/sec (1.00 MB/sec), 0.6 ms avg latency, 9.0 max latency.
2016:07:05 23:41:41,5124 records sent, 1024.2 records/sec (1.00 MB/sec), 0.6 ms avg latency, 8.0 max latency.
2016:07:05 23:41:46,122880 records sent, 1023.829362 records/sec (1.00 MB/sec), 0.69 ms avg latency, 245.00 ms max latency, 1 ms 50th, 1 ms 95th, 3 ms 99th, 22 ms 99.9th.
