2016:07:11 06:56:16,1525 records sent, 304.9 records/sec (29.77 MB/sec), 9.6 ms avg latency, 289.0 max latency.
2016:07:11 06:56:21,1530 records sent, 305.9 records/sec (29.88 MB/sec), 3.2 ms avg latency, 64.0 max latency.
2016:07:11 06:56:26,1529 records sent, 305.7 records/sec (29.85 MB/sec), 2.4 ms avg latency, 65.0 max latency.
2016:07:11 06:56:31,1545 records sent, 309.0 records/sec (30.18 MB/sec), 1.8 ms avg latency, 38.0 max latency.
2016:07:11 06:56:36,1532 records sent, 306.4 records/sec (29.92 MB/sec), 2.0 ms avg latency, 41.0 max latency.
2016:07:11 06:56:41,1541 records sent, 308.1 records/sec (30.09 MB/sec), 1.9 ms avg latency, 40.0 max latency.
2016:07:11 06:56:46,1553 records sent, 310.4 records/sec (30.31 MB/sec), 1.9 ms avg latency, 39.0 max latency.
2016:07:11 06:56:51,1550 records sent, 310.0 records/sec (30.27 MB/sec), 1.8 ms avg latency, 40.0 max latency.
2016:07:11 06:56:56,1549 records sent, 309.7 records/sec (30.25 MB/sec), 19.0 ms avg latency, 332.0 max latency.
2016:07:11 06:57:01,1551 records sent, 310.2 records/sec (30.29 MB/sec), 1.9 ms avg latency, 39.0 max latency.
2016:07:11 06:57:06,1552 records sent, 310.3 records/sec (30.30 MB/sec), 1.9 ms avg latency, 39.0 max latency.
2016:07:11 06:57:11,1548 records sent, 309.6 records/sec (30.23 MB/sec), 22.8 ms avg latency, 401.0 max latency.
2016:07:11 06:57:16,1553 records sent, 310.5 records/sec (30.33 MB/sec), 1.9 ms avg latency, 36.0 max latency.
2016:07:11 06:57:21,1552 records sent, 310.4 records/sec (30.31 MB/sec), 1.8 ms avg latency, 40.0 max latency.
2016:07:11 06:57:26,1553 records sent, 310.5 records/sec (30.33 MB/sec), 2.1 ms avg latency, 40.0 max latency.
2016:07:11 06:57:31,1551 records sent, 310.1 records/sec (30.28 MB/sec), 1.9 ms avg latency, 38.0 max latency.
2016:07:11 06:57:36,1548 records sent, 309.5 records/sec (30.23 MB/sec), 1.8 ms avg latency, 43.0 max latency.
2016:07:11 06:57:41,1550 records sent, 310.0 records/sec (30.27 MB/sec), 11.6 ms avg latency, 266.0 max latency.
2016:07:11 06:57:46,1553 records sent, 310.6 records/sec (30.33 MB/sec), 11.0 ms avg latency, 258.0 max latency.
2016:07:11 06:57:51,1552 records sent, 310.2 records/sec (30.29 MB/sec), 1.7 ms avg latency, 39.0 max latency.
2016:07:11 06:57:56,1553 records sent, 310.6 records/sec (30.33 MB/sec), 2.0 ms avg latency, 38.0 max latency.
2016:07:11 06:58:01,1551 records sent, 310.1 records/sec (30.28 MB/sec), 2.5 ms avg latency, 66.0 max latency.
2016:07:11 06:58:06,1551 records sent, 310.2 records/sec (30.29 MB/sec), 1.9 ms avg latency, 38.0 max latency.
2016:07:11 06:58:11,1552 records sent, 310.2 records/sec (30.29 MB/sec), 1.7 ms avg latency, 35.0 max latency.
2016:07:11 06:58:16,1552 records sent, 310.4 records/sec (30.31 MB/sec), 2.8 ms avg latency, 67.0 max latency.
2016:07:11 06:58:21,1551 records sent, 310.2 records/sec (30.29 MB/sec), 15.3 ms avg latency, 321.0 max latency.
2016:07:11 06:58:26,1552 records sent, 310.4 records/sec (30.31 MB/sec), 1.8 ms avg latency, 40.0 max latency.
2016:07:11 06:58:31,1552 records sent, 310.3 records/sec (30.31 MB/sec), 2.1 ms avg latency, 43.0 max latency.
2016:07:11 06:58:36,1550 records sent, 309.8 records/sec (30.26 MB/sec), 15.7 ms avg latency, 332.0 max latency.
2016:07:11 06:58:41,1551 records sent, 310.1 records/sec (30.28 MB/sec), 1.7 ms avg latency, 39.0 max latency.
