2016:07:06 01:25:18,5828 records sent, 1165.6 records/sec (113.83 MB/sec), 244.1 ms avg latency, 414.0 max latency.
2016:07:06 01:25:23,6825 records sent, 1364.5 records/sec (133.25 MB/sec), 240.8 ms avg latency, 351.0 max latency.
2016:07:06 01:25:28,6010 records sent, 1202.0 records/sec (117.38 MB/sec), 267.4 ms avg latency, 448.0 max latency.
2016:07:06 01:25:33,3555 records sent, 710.9 records/sec (69.42 MB/sec), 458.3 ms avg latency, 667.0 max latency.
2016:07:06 01:25:38,3147 records sent, 627.9 records/sec (61.32 MB/sec), 514.3 ms avg latency, 736.0 max latency.
2016:07:06 01:25:43,3138 records sent, 627.2 records/sec (61.25 MB/sec), 525.0 ms avg latency, 667.0 max latency.
2016:07:06 01:25:48,3095 records sent, 619.0 records/sec (60.45 MB/sec), 526.6 ms avg latency, 661.0 max latency.
2016:07:06 01:25:53,3075 records sent, 614.1 records/sec (59.97 MB/sec), 536.8 ms avg latency, 831.0 max latency.
2016:07:06 01:25:58,3177 records sent, 634.5 records/sec (61.96 MB/sec), 520.0 ms avg latency, 881.0 max latency.
2016:07:06 01:26:03,2725 records sent, 545.0 records/sec (53.22 MB/sec), 553.1 ms avg latency, 1033.0 max latency.
2016:07:06 01:26:08,2932 records sent, 586.4 records/sec (57.27 MB/sec), 599.0 ms avg latency, 1005.0 max latency.
2016:07:06 01:26:13,3061 records sent, 611.3 records/sec (59.70 MB/sec), 537.2 ms avg latency, 920.0 max latency.
2016:07:06 01:26:18,2675 records sent, 533.2 records/sec (52.07 MB/sec), 589.5 ms avg latency, 957.0 max latency.
2016:07:06 01:26:23,1985 records sent, 397.0 records/sec (38.77 MB/sec), 862.2 ms avg latency, 1265.0 max latency.
2016:07:06 01:26:28,1800 records sent, 358.3 records/sec (34.99 MB/sec), 883.3 ms avg latency, 1328.0 max latency.
2016:07:06 01:26:33,1943 records sent, 388.5 records/sec (37.94 MB/sec), 836.9 ms avg latency, 1098.0 max latency.
2016:07:06 01:26:38,2131 records sent, 425.6 records/sec (41.56 MB/sec), 786.7 ms avg latency, 1104.0 max latency.
2016:07:06 01:26:43,1728 records sent, 345.6 records/sec (33.75 MB/sec), 948.4 ms avg latency, 1565.0 max latency.
2016:07:06 01:26:48,1869 records sent, 373.8 records/sec (36.50 MB/sec), 896.1 ms avg latency, 1226.0 max latency.
2016:07:06 01:26:53,1935 records sent, 386.6 records/sec (37.76 MB/sec), 807.2 ms avg latency, 1154.0 max latency.
2016:07:06 01:26:58,1826 records sent, 364.2 records/sec (35.56 MB/sec), 918.3 ms avg latency, 1245.0 max latency.
2016:07:06 01:27:03,1949 records sent, 389.7 records/sec (38.06 MB/sec), 849.7 ms avg latency, 1142.0 max latency.
2016:07:06 01:27:09,2192 records sent, 435.3 records/sec (42.51 MB/sec), 758.2 ms avg latency, 1023.0 max latency.
2016:07:06 01:27:14,2078 records sent, 414.9 records/sec (40.52 MB/sec), 801.9 ms avg latency, 1289.0 max latency.
2016:07:06 01:27:19,7350 records sent, 1470.0 records/sec (143.55 MB/sec), 233.1 ms avg latency, 588.0 max latency.
2016:07:06 01:27:24,4594 records sent, 914.8 records/sec (89.33 MB/sec), 348.5 ms avg latency, 689.0 max latency.
2016:07:06 01:27:29,3302 records sent, 660.4 records/sec (64.49 MB/sec), 494.9 ms avg latency, 586.0 max latency.
2016:07:06 01:27:34,3174 records sent, 632.6 records/sec (61.78 MB/sec), 518.5 ms avg latency, 838.0 max latency.
2016:07:06 01:27:39,3135 records sent, 624.3 records/sec (60.96 MB/sec), 524.2 ms avg latency, 934.0 max latency.
2016:07:06 01:27:44,3034 records sent, 602.5 records/sec (58.83 MB/sec), 545.7 ms avg latency, 908.0 max latency.
2016:07:06 01:27:49,3125 records sent, 625.0 records/sec (61.04 MB/sec), 523.3 ms avg latency, 655.0 max latency.
2016:07:06 01:27:54,4300 records sent, 859.3 records/sec (83.92 MB/sec), 387.5 ms avg latency, 913.0 max latency.
2016:07:06 01:27:59,5690 records sent, 1138.0 records/sec (111.13 MB/sec), 292.2 ms avg latency, 592.0 max latency.
2016:07:06 01:28:04,5720 records sent, 1144.0 records/sec (111.72 MB/sec), 286.5 ms avg latency, 801.0 max latency.
2016:07:06 01:28:09,6082 records sent, 1213.2 records/sec (118.48 MB/sec), 270.3 ms avg latency, 555.0 max latency.
2016:07:06 01:28:14,5379 records sent, 1075.8 records/sec (105.06 MB/sec), 305.3 ms avg latency, 746.0 max latency.
2016:07:06 01:28:19,5981 records sent, 1191.0 records/sec (116.30 MB/sec), 274.4 ms avg latency, 658.0 max latency.
2016:07:06 01:28:24,5441 records sent, 1088.2 records/sec (106.27 MB/sec), 301.8 ms avg latency, 626.0 max latency.
2016:07:06 01:28:29,5900 records sent, 1180.0 records/sec (115.23 MB/sec), 277.8 ms avg latency, 457.0 max latency.
2016:07:06 01:28:34,5755 records sent, 1151.0 records/sec (112.40 MB/sec), 285.5 ms avg latency, 572.0 max latency.
2016:07:06 01:28:39,5978 records sent, 1195.6 records/sec (116.76 MB/sec), 274.3 ms avg latency, 395.0 max latency.
2016:07:06 01:28:44,5521 records sent, 1104.2 records/sec (107.83 MB/sec), 296.5 ms avg latency, 413.0 max latency.
2016:07:06 01:28:49,5580 records sent, 1113.3 records/sec (108.72 MB/sec), 293.7 ms avg latency, 520.0 max latency.
