2016:07:06 01:25:18,5760 records sent, 1152.0 records/sec (112.50 MB/sec), 245.9 ms avg latency, 427.0 max latency.
2016:07:06 01:25:23,6618 records sent, 1323.6 records/sec (129.26 MB/sec), 248.2 ms avg latency, 352.0 max latency.
2016:07:06 01:25:28,5868 records sent, 1172.7 records/sec (114.52 MB/sec), 274.6 ms avg latency, 449.0 max latency.
2016:07:06 01:25:34,3535 records sent, 704.6 records/sec (68.81 MB/sec), 459.8 ms avg latency, 673.0 max latency.
2016:07:06 01:25:39,3193 records sent, 638.6 records/sec (62.36 MB/sec), 514.2 ms avg latency, 775.0 max latency.
2016:07:06 01:25:44,3102 records sent, 618.4 records/sec (60.39 MB/sec), 527.7 ms avg latency, 684.0 max latency.
2016:07:06 01:25:49,3114 records sent, 620.6 records/sec (60.60 MB/sec), 526.0 ms avg latency, 728.0 max latency.
2016:07:06 01:25:54,3033 records sent, 605.6 records/sec (59.14 MB/sec), 547.4 ms avg latency, 824.0 max latency.
2016:07:06 01:25:59,3143 records sent, 628.6 records/sec (61.39 MB/sec), 523.5 ms avg latency, 903.0 max latency.
2016:07:06 01:26:04,2768 records sent, 553.0 records/sec (54.01 MB/sec), 570.0 ms avg latency, 1069.0 max latency.
2016:07:06 01:26:09,2885 records sent, 574.7 records/sec (56.12 MB/sec), 587.1 ms avg latency, 1000.0 max latency.
2016:07:06 01:26:14,3083 records sent, 616.6 records/sec (60.21 MB/sec), 545.2 ms avg latency, 877.0 max latency.
2016:07:06 01:26:19,2576 records sent, 514.5 records/sec (50.24 MB/sec), 609.1 ms avg latency, 967.0 max latency.
2016:07:06 01:26:24,1828 records sent, 364.5 records/sec (35.60 MB/sec), 921.0 ms avg latency, 1441.0 max latency.
2016:07:06 01:26:29,1571 records sent, 313.6 records/sec (30.62 MB/sec), 982.1 ms avg latency, 1405.0 max latency.
2016:07:06 01:26:34,1869 records sent, 373.4 records/sec (36.47 MB/sec), 892.0 ms avg latency, 1132.0 max latency.
2016:07:06 01:26:39,2012 records sent, 402.4 records/sec (39.30 MB/sec), 827.4 ms avg latency, 1180.0 max latency.
2016:07:06 01:26:44,1572 records sent, 313.3 records/sec (30.59 MB/sec), 1035.2 ms avg latency, 1550.0 max latency.
2016:07:06 01:26:49,1663 records sent, 331.3 records/sec (32.36 MB/sec), 1011.2 ms avg latency, 1288.0 max latency.
2016:07:06 01:26:54,1886 records sent, 375.5 records/sec (36.67 MB/sec), 868.6 ms avg latency, 1152.0 max latency.
2016:07:06 01:26:59,1838 records sent, 366.2 records/sec (35.76 MB/sec), 894.3 ms avg latency, 1206.0 max latency.
2016:07:06 01:27:04,1838 records sent, 367.6 records/sec (35.90 MB/sec), 886.2 ms avg latency, 1193.0 max latency.
2016:07:06 01:27:09,2190 records sent, 436.7 records/sec (42.65 MB/sec), 768.4 ms avg latency, 988.0 max latency.
2016:07:06 01:27:14,2162 records sent, 432.4 records/sec (42.23 MB/sec), 794.5 ms avg latency, 1299.0 max latency.
2016:07:06 01:27:19,7264 records sent, 1452.8 records/sec (141.88 MB/sec), 225.7 ms avg latency, 270.0 max latency.
2016:07:06 01:27:24,4340 records sent, 868.0 records/sec (84.77 MB/sec), 367.1 ms avg latency, 693.0 max latency.
2016:07:06 01:27:29,3321 records sent, 664.2 records/sec (64.86 MB/sec), 492.7 ms avg latency, 567.0 max latency.
2016:07:06 01:27:34,3082 records sent, 613.7 records/sec (59.93 MB/sec), 533.4 ms avg latency, 870.0 max latency.
2016:07:06 01:27:39,3038 records sent, 607.6 records/sec (59.34 MB/sec), 536.4 ms avg latency, 938.0 max latency.
2016:07:06 01:27:44,3019 records sent, 600.8 records/sec (58.67 MB/sec), 548.2 ms avg latency, 957.0 max latency.
2016:07:06 01:27:49,3132 records sent, 626.4 records/sec (61.17 MB/sec), 527.8 ms avg latency, 654.0 max latency.
2016:07:06 01:27:55,1645 records sent, 285.1 records/sec (27.84 MB/sec), 888.8 ms avg latency, 3381.0 max latency.
2016:07:06 01:28:01,35 records sent, 5.7 records/sec (0.56 MB/sec), 6377.8 ms avg latency, 9491.0 max latency.
2016:07:06 01:28:07,122 records sent, 18.8 records/sec (1.83 MB/sec), 10517.6 ms avg latency, 13915.0 max latency.
2016:07:06 01:28:13,30 records sent, 5.6 records/sec (0.55 MB/sec), 15923.1 ms avg latency, 19233.0 max latency.
2016:07:06 01:28:19,259 records sent, 43.4 records/sec (4.24 MB/sec), 16772.3 ms avg latency, 20290.0 max latency.
2016:07:06 01:28:24,455 records sent, 85.8 records/sec (8.38 MB/sec), 6684.9 ms avg latency, 15339.0 max latency.
2016:07:06 01:28:29,24 records sent, 4.4 records/sec (0.43 MB/sec), 5210.8 ms avg latency, 8125.0 max latency.
2016:07:06 01:28:35,77 records sent, 13.2 records/sec (1.29 MB/sec), 11857.8 ms avg latency, 13751.0 max latency.
2016:07:06 01:28:40,32 records sent, 6.3 records/sec (0.62 MB/sec), 17042.4 ms avg latency, 18684.0 max latency.
2016:07:06 01:28:46,236 records sent, 41.4 records/sec (4.04 MB/sec), 18166.6 ms avg latency, 19292.0 max latency.
2016:07:06 01:28:51,62 records sent, 11.3 records/sec (1.11 MB/sec), 15288.7 ms avg latency, 16411.0 max latency.
