2016:07:06 03:19:13,5657 records sent, 1131.4 records/sec (107.90 MB/sec), 256.6 ms avg latency, 390.0 max latency.
2016:07:06 03:19:18,6983 records sent, 1396.6 records/sec (133.19 MB/sec), 240.8 ms avg latency, 456.0 max latency.
2016:07:06 03:19:23,7335 records sent, 1467.0 records/sec (139.90 MB/sec), 227.1 ms avg latency, 316.0 max latency.
2016:07:06 03:19:28,3609 records sent, 721.5 records/sec (68.81 MB/sec), 452.4 ms avg latency, 796.0 max latency.
2016:07:06 03:19:33,2939 records sent, 587.4 records/sec (56.02 MB/sec), 571.1 ms avg latency, 660.0 max latency.
2016:07:06 03:19:38,2854 records sent, 570.8 records/sec (54.44 MB/sec), 561.1 ms avg latency, 857.0 max latency.
2016:07:06 03:19:43,3188 records sent, 636.7 records/sec (60.72 MB/sec), 552.9 ms avg latency, 788.0 max latency.
2016:07:06 03:19:48,2921 records sent, 584.2 records/sec (55.71 MB/sec), 589.7 ms avg latency, 1078.0 max latency.
2016:07:06 03:19:53,3160 records sent, 631.2 records/sec (60.20 MB/sec), 520.2 ms avg latency, 822.0 max latency.
2016:07:06 03:19:58,3099 records sent, 619.8 records/sec (59.11 MB/sec), 543.7 ms avg latency, 854.0 max latency.
2016:07:06 03:20:04,3102 records sent, 530.8 records/sec (50.62 MB/sec), 542.7 ms avg latency, 1393.0 max latency.
2016:07:06 03:20:09,2827 records sent, 565.4 records/sec (53.92 MB/sec), 689.6 ms avg latency, 1436.0 max latency.
2016:07:06 03:20:14,2122 records sent, 424.3 records/sec (40.47 MB/sec), 783.0 ms avg latency, 1257.0 max latency.
2016:07:06 03:20:19,2005 records sent, 400.7 records/sec (38.21 MB/sec), 843.8 ms avg latency, 1165.0 max latency.
2016:07:06 03:20:24,1840 records sent, 366.4 records/sec (34.94 MB/sec), 898.3 ms avg latency, 1352.0 max latency.
2016:07:06 03:20:29,1785 records sent, 356.2 records/sec (33.97 MB/sec), 957.5 ms avg latency, 1617.0 max latency.
2016:07:06 03:20:34,2002 records sent, 399.5 records/sec (38.10 MB/sec), 830.9 ms avg latency, 1173.0 max latency.
2016:07:06 03:20:39,1855 records sent, 370.3 records/sec (35.31 MB/sec), 906.9 ms avg latency, 1191.0 max latency.
2016:07:06 03:20:44,1848 records sent, 367.7 records/sec (35.07 MB/sec), 930.2 ms avg latency, 1422.0 max latency.
2016:07:06 03:20:49,1879 records sent, 375.0 records/sec (35.76 MB/sec), 896.4 ms avg latency, 1162.0 max latency.
2016:07:06 03:20:54,2036 records sent, 407.2 records/sec (38.83 MB/sec), 808.3 ms avg latency, 1243.0 max latency.
2016:07:06 03:20:59,1927 records sent, 385.3 records/sec (36.75 MB/sec), 877.4 ms avg latency, 1253.0 max latency.
2016:07:06 03:21:04,1832 records sent, 366.3 records/sec (34.94 MB/sec), 907.4 ms avg latency, 1579.0 max latency.
2016:07:06 03:21:09,2974 records sent, 594.8 records/sec (56.72 MB/sec), 607.1 ms avg latency, 1274.0 max latency.
2016:07:06 03:21:14,7689 records sent, 1537.8 records/sec (146.66 MB/sec), 217.7 ms avg latency, 406.0 max latency.
2016:07:06 03:21:19,4567 records sent, 913.0 records/sec (87.07 MB/sec), 357.0 ms avg latency, 665.0 max latency.
2016:07:06 03:21:24,3336 records sent, 667.2 records/sec (63.63 MB/sec), 498.9 ms avg latency, 683.0 max latency.
2016:07:06 03:21:31,1198 records sent, 191.4 records/sec (18.26 MB/sec), 781.9 ms avg latency, 4395.0 max latency.
2016:07:06 03:21:38,458 records sent, 62.0 records/sec (5.91 MB/sec), 4123.1 ms avg latency, 6793.0 max latency.
2016:07:06 03:21:43,122 records sent, 24.4 records/sec (2.32 MB/sec), 10115.7 ms avg latency, 11123.0 max latency.
2016:07:06 03:21:50,154 records sent, 21.1 records/sec (2.01 MB/sec), 11674.1 ms avg latency, 16911.0 max latency.
2016:07:06 03:21:56,5 records sent, 0.8 records/sec (0.08 MB/sec), 18020.2 ms avg latency, 23017.0 max latency.
2016:07:06 03:22:01,492 records sent, 98.4 records/sec (9.38 MB/sec), 11870.3 ms avg latency, 23656.0 max latency.
2016:07:06 03:22:06,151 records sent, 30.0 records/sec (2.86 MB/sec), 6594.1 ms avg latency, 7888.0 max latency.
2016:07:06 03:22:12,245 records sent, 43.2 records/sec (4.12 MB/sec), 7695.4 ms avg latency, 7983.0 max latency.
2016:07:06 03:22:23,328 records sent, 30.7 records/sec (2.93 MB/sec), 6985.6 ms avg latency, 12825.0 max latency.
2016:07:06 03:22:32,485 records sent, 53.3 records/sec (5.08 MB/sec), 7895.8 ms avg latency, 12815.0 max latency.
2016:07:06 03:22:37,546 records sent, 108.6 records/sec (10.35 MB/sec), 5852.8 ms avg latency, 8030.0 max latency.
2016:07:06 03:22:42,241 records sent, 48.1 records/sec (4.59 MB/sec), 5076.7 ms avg latency, 6127.0 max latency.
2016:07:06 03:22:48,343 records sent, 54.2 records/sec (5.17 MB/sec), 4689.7 ms avg latency, 6288.0 max latency.
