2016:07:06 03:19:13,5242 records sent, 1048.4 records/sec (99.98 MB/sec), 273.6 ms avg latency, 419.0 max latency.
2016:07:06 03:19:18,7241 records sent, 1448.2 records/sec (138.11 MB/sec), 233.6 ms avg latency, 349.0 max latency.
2016:07:06 03:19:23,7214 records sent, 1439.1 records/sec (137.24 MB/sec), 229.6 ms avg latency, 332.0 max latency.
2016:07:06 03:19:28,3531 records sent, 706.2 records/sec (67.35 MB/sec), 468.7 ms avg latency, 799.0 max latency.
2016:07:06 03:19:33,2890 records sent, 576.3 records/sec (54.96 MB/sec), 582.2 ms avg latency, 665.0 max latency.
2016:07:06 03:19:38,2802 records sent, 560.4 records/sec (53.44 MB/sec), 589.3 ms avg latency, 853.0 max latency.
2016:07:06 03:19:43,3123 records sent, 624.5 records/sec (59.55 MB/sec), 544.5 ms avg latency, 764.0 max latency.
2016:07:06 03:19:48,2946 records sent, 589.2 records/sec (56.19 MB/sec), 591.2 ms avg latency, 1045.0 max latency.
2016:07:06 03:19:53,3053 records sent, 607.7 records/sec (57.95 MB/sec), 534.4 ms avg latency, 802.0 max latency.
2016:07:06 03:19:58,3083 records sent, 616.6 records/sec (58.80 MB/sec), 545.5 ms avg latency, 893.0 max latency.
2016:07:06 03:20:04,2944 records sent, 562.2 records/sec (53.61 MB/sec), 551.8 ms avg latency, 976.0 max latency.
2016:07:06 03:20:09,3471 records sent, 692.1 records/sec (66.01 MB/sec), 517.4 ms avg latency, 1038.0 max latency.
2016:07:06 03:20:14,2032 records sent, 406.4 records/sec (38.76 MB/sec), 798.9 ms avg latency, 1267.0 max latency.
2016:07:06 03:20:19,1979 records sent, 395.8 records/sec (37.75 MB/sec), 882.4 ms avg latency, 1125.0 max latency.
2016:07:06 03:20:24,1828 records sent, 364.8 records/sec (34.79 MB/sec), 884.2 ms avg latency, 1359.0 max latency.
2016:07:06 03:20:29,1685 records sent, 337.0 records/sec (32.14 MB/sec), 985.0 ms avg latency, 1619.0 max latency.
2016:07:06 03:20:34,2004 records sent, 399.3 records/sec (38.08 MB/sec), 865.3 ms avg latency, 1449.0 max latency.
2016:07:06 03:20:39,1884 records sent, 376.8 records/sec (35.93 MB/sec), 904.3 ms avg latency, 1176.0 max latency.
2016:07:06 03:20:44,1731 records sent, 346.1 records/sec (33.01 MB/sec), 954.9 ms avg latency, 1467.0 max latency.
2016:07:06 03:20:49,1835 records sent, 367.0 records/sec (35.00 MB/sec), 906.4 ms avg latency, 1200.0 max latency.
2016:07:06 03:20:54,2165 records sent, 431.7 records/sec (41.17 MB/sec), 801.7 ms avg latency, 1195.0 max latency.
2016:07:06 03:20:59,1867 records sent, 373.4 records/sec (35.61 MB/sec), 893.2 ms avg latency, 1235.0 max latency.
2016:07:06 03:21:04,1903 records sent, 380.6 records/sec (36.30 MB/sec), 846.9 ms avg latency, 1567.0 max latency.
2016:07:06 03:21:09,2300 records sent, 459.6 records/sec (43.83 MB/sec), 803.3 ms avg latency, 1570.0 max latency.
2016:07:06 03:21:14,7619 records sent, 1523.8 records/sec (145.32 MB/sec), 220.2 ms avg latency, 412.0 max latency.
2016:07:06 03:21:19,4970 records sent, 992.2 records/sec (94.62 MB/sec), 330.2 ms avg latency, 667.0 max latency.
2016:07:06 03:21:24,3321 records sent, 662.3 records/sec (63.17 MB/sec), 499.5 ms avg latency, 707.0 max latency.
2016:07:06 03:21:31,1407 records sent, 209.2 records/sec (19.95 MB/sec), 765.0 ms avg latency, 4454.0 max latency.
2016:07:06 03:21:38,475 records sent, 64.3 records/sec (6.13 MB/sec), 4021.7 ms avg latency, 6862.0 max latency.
2016:07:06 03:21:43,117 records sent, 23.4 records/sec (2.23 MB/sec), 10368.7 ms avg latency, 11156.0 max latency.
2016:07:06 03:21:50,154 records sent, 21.1 records/sec (2.01 MB/sec), 11639.0 ms avg latency, 16935.0 max latency.
2016:07:06 03:21:56,5 records sent, 0.8 records/sec (0.08 MB/sec), 18104.8 ms avg latency, 22871.0 max latency.
2016:07:06 03:22:01,458 records sent, 90.7 records/sec (8.65 MB/sec), 12722.2 ms avg latency, 23656.0 max latency.
2016:07:06 03:22:06,154 records sent, 30.6 records/sec (2.92 MB/sec), 6491.9 ms avg latency, 7852.0 max latency.
2016:07:06 03:22:12,236 records sent, 40.9 records/sec (3.90 MB/sec), 7962.4 ms avg latency, 9770.0 max latency.
2016:07:06 03:22:23,352 records sent, 33.0 records/sec (3.14 MB/sec), 6809.3 ms avg latency, 10480.0 max latency.
2016:07:06 03:22:32,539 records sent, 59.2 records/sec (5.65 MB/sec), 7128.2 ms avg latency, 10480.0 max latency.
2016:07:06 03:22:37,575 records sent, 114.3 records/sec (10.90 MB/sec), 5369.0 ms avg latency, 7551.0 max latency.
2016:07:06 03:22:42,236 records sent, 47.1 records/sec (4.49 MB/sec), 5230.6 ms avg latency, 6226.0 max latency.
2016:07:06 03:22:48,344 records sent, 54.3 records/sec (5.18 MB/sec), 4745.0 ms avg latency, 6288.0 max latency.
