2016:07:11 07:21:03,1536 records sent, 307.2 records/sec (30.00 MB/sec), 3.5 ms avg latency, 107.0 max latency.
2016:07:11 07:21:08,1534 records sent, 306.6 records/sec (29.94 MB/sec), 2.0 ms avg latency, 37.0 max latency.
2016:07:11 07:21:13,1534 records sent, 306.7 records/sec (29.95 MB/sec), 1.9 ms avg latency, 38.0 max latency.
2016:07:11 07:21:18,1542 records sent, 308.3 records/sec (30.11 MB/sec), 2.0 ms avg latency, 41.0 max latency.
2016:07:11 07:21:23,1525 records sent, 304.9 records/sec (29.77 MB/sec), 35.6 ms avg latency, 398.0 max latency.
2016:07:11 07:21:28,1539 records sent, 307.7 records/sec (30.05 MB/sec), 2.1 ms avg latency, 41.0 max latency.
2016:07:11 07:21:33,1516 records sent, 303.2 records/sec (29.61 MB/sec), 2.2 ms avg latency, 41.0 max latency.
2016:07:11 07:21:38,1537 records sent, 307.4 records/sec (30.02 MB/sec), 2.3 ms avg latency, 46.0 max latency.
2016:07:11 07:21:43,1528 records sent, 305.5 records/sec (29.83 MB/sec), 3.5 ms avg latency, 79.0 max latency.
2016:07:11 07:21:48,1547 records sent, 309.3 records/sec (30.20 MB/sec), 1.9 ms avg latency, 40.0 max latency.
2016:07:11 07:21:53,1535 records sent, 307.0 records/sec (29.98 MB/sec), 2.6 ms avg latency, 60.0 max latency.
2016:07:11 07:21:58,1533 records sent, 306.6 records/sec (29.94 MB/sec), 17.6 ms avg latency, 333.0 max latency.
2016:07:11 07:22:03,1541 records sent, 308.1 records/sec (30.09 MB/sec), 2.0 ms avg latency, 40.0 max latency.
2016:07:11 07:22:08,1541 records sent, 308.0 records/sec (30.08 MB/sec), 2.1 ms avg latency, 51.0 max latency.
2016:07:11 07:22:13,1544 records sent, 308.7 records/sec (30.15 MB/sec), 2.6 ms avg latency, 50.0 max latency.
2016:07:11 07:22:18,1537 records sent, 307.4 records/sec (30.02 MB/sec), 2.2 ms avg latency, 47.0 max latency.
2016:07:11 07:22:23,1530 records sent, 305.9 records/sec (29.88 MB/sec), 1.9 ms avg latency, 38.0 max latency.
2016:07:11 07:22:28,1516 records sent, 303.2 records/sec (29.61 MB/sec), 14.3 ms avg latency, 298.0 max latency.
2016:07:11 07:22:33,1534 records sent, 306.8 records/sec (29.96 MB/sec), 10.4 ms avg latency, 251.0 max latency.
2016:07:11 07:22:38,1532 records sent, 306.3 records/sec (29.92 MB/sec), 2.3 ms avg latency, 59.0 max latency.
2016:07:11 07:22:43,1542 records sent, 308.3 records/sec (30.11 MB/sec), 2.3 ms avg latency, 45.0 max latency.
2016:07:11 07:22:48,1537 records sent, 307.3 records/sec (30.01 MB/sec), 18.4 ms avg latency, 326.0 max latency.
2016:07:11 07:22:53,1539 records sent, 307.8 records/sec (30.06 MB/sec), 2.0 ms avg latency, 41.0 max latency.
2016:07:11 07:22:58,1538 records sent, 307.6 records/sec (30.04 MB/sec), 2.1 ms avg latency, 46.0 max latency.
2016:07:11 07:23:03,1529 records sent, 305.7 records/sec (29.85 MB/sec), 2.7 ms avg latency, 50.0 max latency.
2016:07:11 07:23:08,1531 records sent, 306.2 records/sec (29.90 MB/sec), 2.3 ms avg latency, 50.0 max latency.
2016:07:11 07:23:13,1537 records sent, 307.4 records/sec (30.02 MB/sec), 1.9 ms avg latency, 44.0 max latency.
2016:07:11 07:23:18,1530 records sent, 306.0 records/sec (29.88 MB/sec), 2.6 ms avg latency, 56.0 max latency.
2016:07:11 07:23:23,1493 records sent, 298.6 records/sec (29.16 MB/sec), 9.9 ms avg latency, 240.0 max latency.
2016:07:11 07:23:28,1429 records sent, 285.8 records/sec (27.91 MB/sec), 2.4 ms avg latency, 44.0 max latency.
2016:07:11 07:23:33,1521 records sent, 304.2 records/sec (29.71 MB/sec), 1.9 ms avg latency, 39.0 max latency.
2016:07:11 07:23:34,126000 records sent, 305.919543 records/sec (29.87 MB/sec), 9.55 ms avg latency, 761.00 ms max latency, 2 ms 50th, 33 ms 95th, 241 ms 99th, 547 ms 99.9th.
