2016:07:11 07:16:47,1531 records sent, 306.2 records/sec (29.90 MB/sec), 15.4 ms avg latency, 291.0 max latency.
2016:07:11 07:16:52,1545 records sent, 308.9 records/sec (30.16 MB/sec), 3.5 ms avg latency, 93.0 max latency.
2016:07:11 07:16:57,1542 records sent, 308.3 records/sec (30.11 MB/sec), 1.9 ms avg latency, 39.0 max latency.
2016:07:11 07:17:02,1534 records sent, 306.7 records/sec (29.95 MB/sec), 4.9 ms avg latency, 131.0 max latency.
2016:07:11 07:17:07,1551 records sent, 310.1 records/sec (30.28 MB/sec), 2.1 ms avg latency, 42.0 max latency.
2016:07:11 07:17:12,1551 records sent, 309.0 records/sec (30.18 MB/sec), 1.7 ms avg latency, 38.0 max latency.
2016:07:11 07:17:17,1567 records sent, 313.3 records/sec (30.60 MB/sec), 1.9 ms avg latency, 42.0 max latency.
2016:07:11 07:17:22,1553 records sent, 310.5 records/sec (30.33 MB/sec), 2.3 ms avg latency, 56.0 max latency.
2016:07:11 07:17:27,1551 records sent, 310.1 records/sec (30.29 MB/sec), 7.3 ms avg latency, 191.0 max latency.
2016:07:11 07:17:32,1556 records sent, 311.1 records/sec (30.38 MB/sec), 1.8 ms avg latency, 40.0 max latency.
2016:07:11 07:17:37,1555 records sent, 310.9 records/sec (30.36 MB/sec), 2.2 ms avg latency, 46.0 max latency.
2016:07:11 07:17:42,1553 records sent, 310.6 records/sec (30.33 MB/sec), 2.6 ms avg latency, 65.0 max latency.
2016:07:11 07:17:47,1555 records sent, 310.9 records/sec (30.36 MB/sec), 2.0 ms avg latency, 43.0 max latency.
2016:07:11 07:17:52,1554 records sent, 310.6 records/sec (30.33 MB/sec), 1.9 ms avg latency, 44.0 max latency.
2016:07:11 07:17:57,1554 records sent, 310.7 records/sec (30.35 MB/sec), 2.8 ms avg latency, 63.0 max latency.
2016:07:11 07:18:02,1554 records sent, 310.7 records/sec (30.35 MB/sec), 2.4 ms avg latency, 58.0 max latency.
2016:07:11 07:18:07,1554 records sent, 310.8 records/sec (30.35 MB/sec), 1.7 ms avg latency, 39.0 max latency.
2016:07:11 07:18:12,1552 records sent, 310.3 records/sec (30.31 MB/sec), 8.0 ms avg latency, 211.0 max latency.
2016:07:11 07:18:17,1549 records sent, 309.8 records/sec (30.25 MB/sec), 21.4 ms avg latency, 341.0 max latency.
2016:07:11 07:18:22,1551 records sent, 308.3 records/sec (30.11 MB/sec), 1.8 ms avg latency, 38.0 max latency.
2016:07:11 07:18:27,1562 records sent, 312.3 records/sec (30.50 MB/sec), 2.1 ms avg latency, 47.0 max latency.
