2016:07:06 01:14:25,5827 records sent, 1165.4 records/sec (113.81 MB/sec), 244.4 ms avg latency, 368.0 max latency.
2016:07:06 01:14:30,6444 records sent, 1288.8 records/sec (125.86 MB/sec), 255.4 ms avg latency, 484.0 max latency.
2016:07:06 01:14:35,6084 records sent, 1216.3 records/sec (118.78 MB/sec), 254.3 ms avg latency, 565.0 max latency.
2016:07:06 01:14:40,3555 records sent, 705.2 records/sec (68.87 MB/sec), 447.0 ms avg latency, 780.0 max latency.
2016:07:06 01:14:45,3528 records sent, 687.9 records/sec (67.17 MB/sec), 473.9 ms avg latency, 887.0 max latency.
2016:07:06 01:14:50,3299 records sent, 647.8 records/sec (63.26 MB/sec), 515.4 ms avg latency, 889.0 max latency.
2016:07:06 01:14:55,2996 records sent, 597.8 records/sec (58.38 MB/sec), 546.6 ms avg latency, 866.0 max latency.
2016:07:06 01:15:00,3060 records sent, 611.9 records/sec (59.75 MB/sec), 537.1 ms avg latency, 864.0 max latency.
2016:07:06 01:15:06,3160 records sent, 608.7 records/sec (59.45 MB/sec), 508.2 ms avg latency, 1061.0 max latency.
2016:07:06 01:15:11,3029 records sent, 605.8 records/sec (59.16 MB/sec), 586.9 ms avg latency, 1107.0 max latency.
2016:07:06 01:15:16,2816 records sent, 563.2 records/sec (55.00 MB/sec), 567.9 ms avg latency, 895.0 max latency.
2016:07:06 01:15:21,3230 records sent, 645.2 records/sec (63.01 MB/sec), 503.1 ms avg latency, 896.0 max latency.
2016:07:06 01:15:26,2538 records sent, 507.6 records/sec (49.57 MB/sec), 656.9 ms avg latency, 957.0 max latency.
2016:07:06 01:15:31,2315 records sent, 463.0 records/sec (45.21 MB/sec), 722.1 ms avg latency, 957.0 max latency.
2016:07:06 01:15:36,1780 records sent, 355.0 records/sec (34.67 MB/sec), 888.6 ms avg latency, 1275.0 max latency.
2016:07:06 01:15:41,1906 records sent, 380.4 records/sec (37.15 MB/sec), 893.6 ms avg latency, 1408.0 max latency.
2016:07:06 01:15:46,1860 records sent, 370.2 records/sec (36.15 MB/sec), 862.3 ms avg latency, 1118.0 max latency.
2016:07:06 01:15:51,1779 records sent, 355.1 records/sec (34.68 MB/sec), 900.7 ms avg latency, 1352.0 max latency.
2016:07:06 01:15:56,2001 records sent, 399.2 records/sec (38.98 MB/sec), 854.2 ms avg latency, 1354.0 max latency.
2016:07:06 01:16:01,1949 records sent, 388.4 records/sec (37.93 MB/sec), 843.5 ms avg latency, 1165.0 max latency.
2016:07:06 01:16:06,2075 records sent, 414.8 records/sec (40.51 MB/sec), 823.6 ms avg latency, 1131.0 max latency.
2016:07:06 01:16:11,1938 records sent, 385.4 records/sec (37.64 MB/sec), 850.8 ms avg latency, 1101.0 max latency.
2016:07:06 01:16:16,1821 records sent, 363.5 records/sec (35.50 MB/sec), 862.9 ms avg latency, 1154.0 max latency.
2016:07:06 01:16:21,2000 records sent, 399.7 records/sec (39.03 MB/sec), 818.4 ms avg latency, 1118.0 max latency.
2016:07:06 01:16:26,5648 records sent, 1129.6 records/sec (110.31 MB/sec), 312.9 ms avg latency, 985.0 max latency.
2016:07:06 01:16:31,6554 records sent, 1310.8 records/sec (128.01 MB/sec), 249.8 ms avg latency, 630.0 max latency.
2016:07:06 01:16:36,3719 records sent, 743.8 records/sec (72.64 MB/sec), 428.1 ms avg latency, 623.0 max latency.
2016:07:06 01:16:41,3184 records sent, 635.8 records/sec (62.09 MB/sec), 522.5 ms avg latency, 896.0 max latency.
2016:07:06 01:16:46,3187 records sent, 635.5 records/sec (62.06 MB/sec), 516.7 ms avg latency, 860.0 max latency.
2016:07:06 01:16:51,3156 records sent, 631.2 records/sec (61.64 MB/sec), 521.8 ms avg latency, 650.0 max latency.
2016:07:06 01:16:56,2913 records sent, 582.6 records/sec (56.89 MB/sec), 567.3 ms avg latency, 979.0 max latency.
2016:07:06 01:17:01,3146 records sent, 629.2 records/sec (61.45 MB/sec), 516.3 ms avg latency, 787.0 max latency.
2016:07:06 01:17:06,2685 records sent, 537.0 records/sec (52.44 MB/sec), 525.2 ms avg latency, 1277.0 max latency.
2016:07:06 01:17:11,3194 records sent, 638.8 records/sec (62.38 MB/sec), 580.1 ms avg latency, 1498.0 max latency.
2016:07:06 01:17:16,3135 records sent, 624.5 records/sec (60.99 MB/sec), 521.6 ms avg latency, 912.0 max latency.
2016:07:06 01:17:21,4313 records sent, 862.6 records/sec (84.24 MB/sec), 392.4 ms avg latency, 636.0 max latency.
2016:07:06 01:17:26,5440 records sent, 1088.0 records/sec (106.25 MB/sec), 301.1 ms avg latency, 665.0 max latency.
2016:07:06 01:17:31,6190 records sent, 1238.0 records/sec (120.90 MB/sec), 263.8 ms avg latency, 442.0 max latency.
2016:07:06 01:17:36,5810 records sent, 1159.9 records/sec (113.27 MB/sec), 282.8 ms avg latency, 554.0 max latency.
2016:07:06 01:17:41,5557 records sent, 1111.4 records/sec (108.54 MB/sec), 296.5 ms avg latency, 659.0 max latency.
2016:07:06 01:17:46,6151 records sent, 1225.3 records/sec (119.66 MB/sec), 266.0 ms avg latency, 377.0 max latency.
2016:07:06 01:17:51,5763 records sent, 1148.5 records/sec (112.15 MB/sec), 285.5 ms avg latency, 537.0 max latency.
2016:07:06 01:17:56,6038 records sent, 1207.6 records/sec (117.93 MB/sec), 273.2 ms avg latency, 365.0 max latency.
