2016:07:06 03:55:38,3712 records sent, 742.0 records/sec (72.46 MB/sec), 378.6 ms avg latency, 587.0 max latency.
2016:07:06 03:55:43,5141 records sent, 1028.2 records/sec (100.41 MB/sec), 322.5 ms avg latency, 470.0 max latency.
2016:07:06 03:55:48,3996 records sent, 774.3 records/sec (75.61 MB/sec), 366.6 ms avg latency, 1435.0 max latency.
2016:07:06 03:55:53,4266 records sent, 853.0 records/sec (83.30 MB/sec), 437.8 ms avg latency, 1684.0 max latency.
2016:07:06 03:55:58,4738 records sent, 946.1 records/sec (92.39 MB/sec), 330.4 ms avg latency, 702.0 max latency.
2016:07:06 03:56:03,975 records sent, 194.5 records/sec (18.99 MB/sec), 1219.7 ms avg latency, 2976.0 max latency.
2016:07:06 03:56:08,251 records sent, 48.2 records/sec (4.71 MB/sec), 3814.2 ms avg latency, 5861.0 max latency.
2016:07:06 03:56:13,114 records sent, 22.2 records/sec (2.17 MB/sec), 6861.5 ms avg latency, 10045.0 max latency.
2016:07:06 03:56:19,108 records sent, 17.6 records/sec (1.72 MB/sec), 11181.8 ms avg latency, 14691.0 max latency.
2016:07:06 03:56:24,184 records sent, 36.3 records/sec (3.55 MB/sec), 14635.1 ms avg latency, 15070.0 max latency.
2016:07:06 03:56:31,121 records sent, 17.3 records/sec (1.69 MB/sec), 12116.8 ms avg latency, 15357.0 max latency.
2016:07:06 03:56:37,172 records sent, 30.7 records/sec (3.00 MB/sec), 11732.9 ms avg latency, 15387.0 max latency.
2016:07:06 03:56:44,236 records sent, 32.1 records/sec (3.14 MB/sec), 10533.6 ms avg latency, 13205.0 max latency.
2016:07:06 03:56:49,387 records sent, 77.2 records/sec (7.54 MB/sec), 9836.6 ms avg latency, 12192.0 max latency.
2016:07:06 03:56:54,165 records sent, 32.5 records/sec (3.17 MB/sec), 2654.8 ms avg latency, 6101.0 max latency.
2016:07:06 03:57:00,131 records sent, 24.6 records/sec (2.40 MB/sec), 6470.7 ms avg latency, 10608.0 max latency.
2016:07:06 03:57:06,213 records sent, 36.3 records/sec (3.54 MB/sec), 10411.4 ms avg latency, 11035.0 max latency.
2016:07:06 03:57:13,381 records sent, 51.2 records/sec (5.00 MB/sec), 8107.0 ms avg latency, 11093.0 max latency.
2016:07:06 03:57:18,59 records sent, 11.0 records/sec (1.07 MB/sec), 6999.6 ms avg latency, 11497.0 max latency.
2016:07:06 03:57:24,62 records sent, 11.3 records/sec (1.10 MB/sec), 11826.3 ms avg latency, 16382.0 max latency.
2016:07:06 03:57:33,485 records sent, 52.9 records/sec (5.16 MB/sec), 10306.3 ms avg latency, 17253.0 max latency.
2016:07:06 03:57:41,269 records sent, 33.9 records/sec (3.31 MB/sec), 8245.4 ms avg latency, 12936.0 max latency.
2016:07:06 03:57:48,293 records sent, 45.1 records/sec (4.41 MB/sec), 9488.3 ms avg latency, 13367.0 max latency.
2016:07:06 03:57:56,1063 records sent, 129.2 records/sec (12.61 MB/sec), 2429.1 ms avg latency, 11736.0 max latency.
2016:07:06 03:58:02,838 records sent, 128.4 records/sec (12.54 MB/sec), 3324.3 ms avg latency, 6427.0 max latency.
2016:07:06 03:58:11,465 records sent, 55.9 records/sec (5.45 MB/sec), 3952.3 ms avg latency, 7492.0 max latency.
2016:07:06 03:58:16,365 records sent, 63.2 records/sec (6.17 MB/sec), 6826.6 ms avg latency, 7579.0 max latency.
2016:07:06 03:58:24,510 records sent, 63.5 records/sec (6.20 MB/sec), 4407.3 ms avg latency, 7062.0 max latency.
2016:07:06 03:58:32,490 records sent, 66.8 records/sec (6.52 MB/sec), 5285.0 ms avg latency, 7081.0 max latency.
2016:07:06 03:58:38,449 records sent, 75.4 records/sec (7.36 MB/sec), 5530.2 ms avg latency, 7137.0 max latency.
2016:07:06 03:58:45,518 records sent, 71.6 records/sec (6.99 MB/sec), 4116.4 ms avg latency, 5732.0 max latency.
2016:07:06 03:58:51,487 records sent, 75.3 records/sec (7.35 MB/sec), 4931.6 ms avg latency, 5916.0 max latency.
2016:07:06 03:58:58,439 records sent, 66.8 records/sec (6.53 MB/sec), 4855.6 ms avg latency, 5533.0 max latency.
2016:07:06 03:59:04,396 records sent, 63.3 records/sec (6.18 MB/sec), 5314.7 ms avg latency, 5768.0 max latency.
2016:07:06 03:59:10,304 records sent, 50.3 records/sec (4.91 MB/sec), 5624.1 ms avg latency, 7663.0 max latency.
