2016:07:06 03:55:38,3899 records sent, 779.8 records/sec (76.15 MB/sec), 363.4 ms avg latency, 527.0 max latency.
2016:07:06 03:55:43,5258 records sent, 1051.6 records/sec (102.70 MB/sec), 314.5 ms avg latency, 446.0 max latency.
2016:07:06 03:55:48,3969 records sent, 776.1 records/sec (75.79 MB/sec), 366.3 ms avg latency, 1428.0 max latency.
2016:07:06 03:55:53,4263 records sent, 852.6 records/sec (83.26 MB/sec), 436.9 ms avg latency, 1687.0 max latency.
2016:07:06 03:55:58,4746 records sent, 947.3 records/sec (92.51 MB/sec), 330.7 ms avg latency, 710.0 max latency.
2016:07:06 03:56:03,972 records sent, 193.9 records/sec (18.93 MB/sec), 1219.7 ms avg latency, 3018.0 max latency.
2016:07:06 03:56:08,245 records sent, 47.0 records/sec (4.59 MB/sec), 3850.2 ms avg latency, 5961.0 max latency.
2016:07:06 03:56:13,114 records sent, 22.2 records/sec (2.17 MB/sec), 6854.2 ms avg latency, 10047.0 max latency.
2016:07:06 03:56:19,113 records sent, 18.4 records/sec (1.80 MB/sec), 11184.4 ms avg latency, 14693.0 max latency.
2016:07:06 03:56:24,186 records sent, 36.7 records/sec (3.59 MB/sec), 14535.4 ms avg latency, 14929.0 max latency.
2016:07:06 03:56:31,124 records sent, 17.7 records/sec (1.73 MB/sec), 11754.7 ms avg latency, 15353.0 max latency.
2016:07:06 03:56:37,182 records sent, 32.5 records/sec (3.18 MB/sec), 11333.6 ms avg latency, 15355.0 max latency.
2016:07:06 03:56:44,235 records sent, 32.0 records/sec (3.13 MB/sec), 10176.1 ms avg latency, 13032.0 max latency.
2016:07:06 03:56:49,347 records sent, 69.3 records/sec (6.76 MB/sec), 10584.3 ms avg latency, 14586.0 max latency.
2016:07:06 03:56:54,153 records sent, 30.1 records/sec (2.94 MB/sec), 3573.9 ms avg latency, 6300.0 max latency.
2016:07:06 03:57:00,227 records sent, 42.6 records/sec (4.16 MB/sec), 6304.2 ms avg latency, 9948.0 max latency.
2016:07:06 03:57:06,211 records sent, 35.9 records/sec (3.51 MB/sec), 8055.0 ms avg latency, 10465.0 max latency.
2016:07:06 03:57:13,397 records sent, 53.4 records/sec (5.21 MB/sec), 7475.3 ms avg latency, 10531.0 max latency.
2016:07:06 03:57:18,72 records sent, 13.4 records/sec (1.31 MB/sec), 7162.0 ms avg latency, 11738.0 max latency.
2016:07:06 03:57:24,144 records sent, 26.3 records/sec (2.57 MB/sec), 11533.5 ms avg latency, 15534.0 max latency.
2016:07:06 03:57:33,465 records sent, 50.9 records/sec (4.97 MB/sec), 8741.7 ms avg latency, 16199.0 max latency.
2016:07:06 03:57:41,333 records sent, 41.8 records/sec (4.08 MB/sec), 7671.8 ms avg latency, 8050.0 max latency.
2016:07:06 03:57:48,360 records sent, 55.5 records/sec (5.42 MB/sec), 7638.2 ms avg latency, 8541.0 max latency.
2016:07:06 03:57:56,1097 records sent, 133.2 records/sec (13.01 MB/sec), 2073.4 ms avg latency, 6264.0 max latency.
2016:07:06 03:58:02,847 records sent, 129.8 records/sec (12.68 MB/sec), 3297.2 ms avg latency, 6427.0 max latency.
2016:07:06 03:58:11,470 records sent, 56.4 records/sec (5.51 MB/sec), 3915.1 ms avg latency, 7484.0 max latency.
2016:07:06 03:58:16,368 records sent, 63.7 records/sec (6.22 MB/sec), 6741.7 ms avg latency, 7526.0 max latency.
2016:07:06 03:58:24,530 records sent, 66.0 records/sec (6.44 MB/sec), 4249.6 ms avg latency, 7010.0 max latency.
2016:07:06 03:58:32,502 records sent, 68.4 records/sec (6.68 MB/sec), 5143.2 ms avg latency, 7027.0 max latency.
2016:07:06 03:58:38,480 records sent, 80.6 records/sec (7.87 MB/sec), 5246.8 ms avg latency, 7103.0 max latency.
2016:07:06 03:58:45,521 records sent, 72.0 records/sec (7.03 MB/sec), 4045.7 ms avg latency, 5767.0 max latency.
2016:07:06 03:58:51,493 records sent, 76.2 records/sec (7.44 MB/sec), 4889.0 ms avg latency, 5913.0 max latency.
2016:07:06 03:58:58,451 records sent, 68.6 records/sec (6.70 MB/sec), 4737.9 ms avg latency, 5438.0 max latency.
2016:07:06 03:59:04,401 records sent, 64.1 records/sec (6.26 MB/sec), 5219.0 ms avg latency, 5710.0 max latency.
2016:07:06 03:59:10,307 records sent, 50.8 records/sec (4.96 MB/sec), 5600.1 ms avg latency, 7602.0 max latency.
