2016:07:06 03:40:40,4010 records sent, 798.0 records/sec (76.10 MB/sec), 354.8 ms avg latency, 528.0 max latency.
2016:07:06 03:40:45,5492 records sent, 1096.0 records/sec (104.52 MB/sec), 311.1 ms avg latency, 403.0 max latency.
2016:07:06 03:40:50,5545 records sent, 1108.8 records/sec (105.74 MB/sec), 98.9 ms avg latency, 286.0 max latency.
2016:07:06 03:40:55,4980 records sent, 996.0 records/sec (94.99 MB/sec), 32.1 ms avg latency, 261.0 max latency.
2016:07:06 03:41:00,4929 records sent, 985.8 records/sec (94.01 MB/sec), 113.9 ms avg latency, 398.0 max latency.
2016:07:06 03:41:05,3698 records sent, 739.6 records/sec (70.53 MB/sec), 318.8 ms avg latency, 745.0 max latency.
2016:07:06 03:41:10,2777 records sent, 555.4 records/sec (52.97 MB/sec), 613.5 ms avg latency, 1090.0 max latency.
2016:07:06 03:41:15,3125 records sent, 625.0 records/sec (59.60 MB/sec), 534.7 ms avg latency, 836.0 max latency.
2016:07:06 03:41:20,3074 records sent, 614.8 records/sec (58.63 MB/sec), 542.5 ms avg latency, 979.0 max latency.
2016:07:06 03:41:25,3028 records sent, 603.8 records/sec (57.58 MB/sec), 562.2 ms avg latency, 735.0 max latency.
2016:07:06 03:41:30,3093 records sent, 616.7 records/sec (58.82 MB/sec), 541.9 ms avg latency, 718.0 max latency.
2016:07:06 03:41:35,3018 records sent, 603.2 records/sec (57.53 MB/sec), 561.4 ms avg latency, 1012.0 max latency.
2016:07:06 03:41:41,2085 records sent, 370.7 records/sec (35.35 MB/sec), 676.9 ms avg latency, 2049.0 max latency.
2016:07:06 03:41:46,1992 records sent, 398.4 records/sec (37.99 MB/sec), 1042.7 ms avg latency, 2421.0 max latency.
2016:07:06 03:41:51,2055 records sent, 410.9 records/sec (39.19 MB/sec), 854.0 ms avg latency, 1181.0 max latency.
2016:07:06 03:41:56,1846 records sent, 369.1 records/sec (35.20 MB/sec), 860.8 ms avg latency, 1385.0 max latency.
2016:07:06 03:42:01,2034 records sent, 406.5 records/sec (38.76 MB/sec), 815.7 ms avg latency, 1151.0 max latency.
2016:07:06 03:42:06,1628 records sent, 324.9 records/sec (30.98 MB/sec), 1035.4 ms avg latency, 1462.0 max latency.
2016:07:06 03:42:11,2000 records sent, 394.4 records/sec (37.61 MB/sec), 880.8 ms avg latency, 1183.0 max latency.
2016:07:06 03:42:16,1988 records sent, 394.8 records/sec (37.65 MB/sec), 855.2 ms avg latency, 1283.0 max latency.
2016:07:06 03:42:21,1924 records sent, 382.6 records/sec (36.49 MB/sec), 864.5 ms avg latency, 1367.0 max latency.
2016:07:06 03:42:26,2179 records sent, 434.7 records/sec (41.45 MB/sec), 789.2 ms avg latency, 1048.0 max latency.
2016:07:06 03:42:31,1953 records sent, 390.6 records/sec (37.25 MB/sec), 836.7 ms avg latency, 1137.0 max latency.
2016:07:06 03:42:36,3144 records sent, 628.8 records/sec (59.97 MB/sec), 578.4 ms avg latency, 1084.0 max latency.
2016:07:06 03:42:41,6556 records sent, 1311.2 records/sec (125.05 MB/sec), 256.2 ms avg latency, 462.0 max latency.
2016:07:06 03:42:46,5575 records sent, 1115.0 records/sec (106.33 MB/sec), 295.4 ms avg latency, 431.0 max latency.
2016:07:06 03:42:51,3547 records sent, 709.4 records/sec (67.65 MB/sec), 472.9 ms avg latency, 579.0 max latency.
2016:07:06 03:42:56,3404 records sent, 677.8 records/sec (64.64 MB/sec), 489.7 ms avg latency, 668.0 max latency.
2016:07:06 03:43:01,3257 records sent, 650.6 records/sec (62.05 MB/sec), 517.8 ms avg latency, 883.0 max latency.
2016:07:06 03:43:06,3078 records sent, 615.1 records/sec (58.66 MB/sec), 552.3 ms avg latency, 947.0 max latency.
2016:07:06 03:43:11,3121 records sent, 621.2 records/sec (59.24 MB/sec), 535.1 ms avg latency, 1079.0 max latency.
2016:07:06 03:43:16,3357 records sent, 668.6 records/sec (63.76 MB/sec), 504.9 ms avg latency, 764.0 max latency.
2016:07:06 03:43:21,2847 records sent, 569.4 records/sec (54.30 MB/sec), 596.1 ms avg latency, 1442.0 max latency.
2016:07:06 03:43:26,3475 records sent, 695.0 records/sec (66.28 MB/sec), 477.2 ms avg latency, 749.0 max latency.
2016:07:06 03:43:31,3314 records sent, 662.8 records/sec (63.21 MB/sec), 506.9 ms avg latency, 685.0 max latency.
2016:07:06 03:43:36,3224 records sent, 640.7 records/sec (61.10 MB/sec), 521.0 ms avg latency, 854.0 max latency.
2016:07:06 03:43:42,3063 records sent, 580.9 records/sec (55.40 MB/sec), 548.4 ms avg latency, 1055.0 max latency.
2016:07:06 03:43:47,3439 records sent, 687.0 records/sec (65.52 MB/sec), 515.1 ms avg latency, 855.0 max latency.
2016:07:06 03:43:52,3095 records sent, 616.7 records/sec (58.81 MB/sec), 546.4 ms avg latency, 670.0 max latency.
2016:07:06 03:43:57,2685 records sent, 533.9 records/sec (50.92 MB/sec), 629.8 ms avg latency, 1276.0 max latency.
2016:07:06 03:44:02,3098 records sent, 618.4 records/sec (58.97 MB/sec), 547.3 ms avg latency, 1026.0 max latency.
2016:07:06 03:44:07,3320 records sent, 664.0 records/sec (63.32 MB/sec), 504.4 ms avg latency, 774.0 max latency.
2016:07:06 03:44:12,5211 records sent, 1041.4 records/sec (99.31 MB/sec), 330.8 ms avg latency, 633.0 max latency.
