2016:07:06 03:40:40,3647 records sent, 729.4 records/sec (69.56 MB/sec), 389.1 ms avg latency, 653.0 max latency.
2016:07:06 03:40:45,5163 records sent, 1032.6 records/sec (98.48 MB/sec), 331.9 ms avg latency, 442.0 max latency.
2016:07:06 03:40:50,6149 records sent, 1229.8 records/sec (117.28 MB/sec), 257.7 ms avg latency, 494.0 max latency.
2016:07:06 03:40:55,5026 records sent, 1005.2 records/sec (95.86 MB/sec), 32.4 ms avg latency, 261.0 max latency.
2016:07:06 03:41:00,4878 records sent, 975.4 records/sec (93.02 MB/sec), 122.7 ms avg latency, 400.0 max latency.
2016:07:06 03:41:05,3546 records sent, 708.9 records/sec (67.61 MB/sec), 389.5 ms avg latency, 751.0 max latency.
2016:07:06 03:41:10,2680 records sent, 535.8 records/sec (51.10 MB/sec), 632.0 ms avg latency, 1078.0 max latency.
2016:07:06 03:41:15,3009 records sent, 601.8 records/sec (57.39 MB/sec), 556.9 ms avg latency, 836.0 max latency.
2016:07:06 03:41:20,2961 records sent, 592.1 records/sec (56.47 MB/sec), 562.9 ms avg latency, 1021.0 max latency.
2016:07:06 03:41:25,2953 records sent, 588.7 records/sec (56.14 MB/sec), 575.4 ms avg latency, 727.0 max latency.
2016:07:06 03:41:30,2982 records sent, 594.6 records/sec (56.71 MB/sec), 563.5 ms avg latency, 712.0 max latency.
2016:07:06 03:41:35,2829 records sent, 565.8 records/sec (53.96 MB/sec), 595.2 ms avg latency, 1015.0 max latency.
2016:07:06 03:41:41,1931 records sent, 343.3 records/sec (32.74 MB/sec), 745.2 ms avg latency, 1998.0 max latency.
2016:07:06 03:41:46,1908 records sent, 381.6 records/sec (36.39 MB/sec), 1082.8 ms avg latency, 2429.0 max latency.
2016:07:06 03:41:51,1991 records sent, 398.2 records/sec (37.98 MB/sec), 872.9 ms avg latency, 1161.0 max latency.
2016:07:06 03:41:56,1799 records sent, 359.7 records/sec (34.31 MB/sec), 891.1 ms avg latency, 1383.0 max latency.
2016:07:06 03:42:01,2042 records sent, 407.7 records/sec (38.89 MB/sec), 812.5 ms avg latency, 1174.0 max latency.
2016:07:06 03:42:06,1617 records sent, 322.7 records/sec (30.77 MB/sec), 1034.1 ms avg latency, 1359.0 max latency.
2016:07:06 03:42:11,1953 records sent, 385.0 records/sec (36.71 MB/sec), 909.4 ms avg latency, 1187.0 max latency.
2016:07:06 03:42:16,1939 records sent, 385.1 records/sec (36.73 MB/sec), 866.2 ms avg latency, 1287.0 max latency.
2016:07:06 03:42:21,1800 records sent, 358.1 records/sec (34.15 MB/sec), 926.8 ms avg latency, 1423.0 max latency.
2016:07:06 03:42:26,2069 records sent, 412.6 records/sec (39.35 MB/sec), 831.6 ms avg latency, 1135.0 max latency.
2016:07:06 03:42:31,1977 records sent, 395.4 records/sec (37.71 MB/sec), 834.1 ms avg latency, 1053.0 max latency.
2016:07:06 03:42:36,3025 records sent, 605.0 records/sec (57.70 MB/sec), 600.6 ms avg latency, 1147.0 max latency.
2016:07:06 03:42:41,6406 records sent, 1281.2 records/sec (122.18 MB/sec), 262.2 ms avg latency, 458.0 max latency.
2016:07:06 03:42:46,5354 records sent, 1070.6 records/sec (102.10 MB/sec), 306.9 ms avg latency, 450.0 max latency.
2016:07:06 03:42:51,3506 records sent, 701.2 records/sec (66.87 MB/sec), 477.5 ms avg latency, 591.0 max latency.
2016:07:06 03:42:56,3300 records sent, 657.1 records/sec (62.67 MB/sec), 508.3 ms avg latency, 674.0 max latency.
2016:07:06 03:43:01,3174 records sent, 633.9 records/sec (60.45 MB/sec), 530.3 ms avg latency, 891.0 max latency.
2016:07:06 03:43:06,3018 records sent, 603.0 records/sec (57.51 MB/sec), 562.0 ms avg latency, 954.0 max latency.
2016:07:06 03:43:11,2936 records sent, 584.4 records/sec (55.73 MB/sec), 568.6 ms avg latency, 1115.0 max latency.
2016:07:06 03:43:16,3269 records sent, 651.1 records/sec (62.09 MB/sec), 520.4 ms avg latency, 767.0 max latency.
2016:07:06 03:43:21,2674 records sent, 534.8 records/sec (51.00 MB/sec), 631.7 ms avg latency, 1477.0 max latency.
2016:07:06 03:43:26,3253 records sent, 650.6 records/sec (62.05 MB/sec), 510.4 ms avg latency, 800.0 max latency.
2016:07:06 03:43:31,3126 records sent, 625.2 records/sec (59.62 MB/sec), 539.6 ms avg latency, 685.0 max latency.
2016:07:06 03:43:36,3048 records sent, 605.6 records/sec (57.75 MB/sec), 550.1 ms avg latency, 872.0 max latency.
2016:07:06 03:43:42,2895 records sent, 548.8 records/sec (52.34 MB/sec), 581.4 ms avg latency, 1064.0 max latency.
2016:07:06 03:43:47,3299 records sent, 659.0 records/sec (62.85 MB/sec), 536.4 ms avg latency, 873.0 max latency.
2016:07:06 03:43:52,3050 records sent, 607.7 records/sec (57.95 MB/sec), 556.8 ms avg latency, 670.0 max latency.
2016:07:06 03:43:57,2690 records sent, 534.7 records/sec (50.99 MB/sec), 628.8 ms avg latency, 1268.0 max latency.
2016:07:06 03:44:02,3011 records sent, 600.9 records/sec (57.30 MB/sec), 559.4 ms avg latency, 1033.0 max latency.
2016:07:06 03:44:07,3168 records sent, 633.6 records/sec (60.42 MB/sec), 527.4 ms avg latency, 773.0 max latency.
2016:07:06 03:44:12,874 records sent, 170.0 records/sec (16.21 MB/sec), 575.6 ms avg latency, 4284.0 max latency.
