2016:07:06 03:27:22,5000 records sent, 999.8 records/sec (95.35 MB/sec), 110.4 ms avg latency, 417.0 max latency.
2016:07:06 03:27:27,4982 records sent, 996.4 records/sec (95.02 MB/sec), 4.1 ms avg latency, 44.0 max latency.
2016:07:06 03:27:32,3132 records sent, 626.4 records/sec (59.74 MB/sec), 67.2 ms avg latency, 1936.0 max latency.
2016:07:06 03:27:37,4195 records sent, 833.7 records/sec (79.50 MB/sec), 460.0 ms avg latency, 1903.0 max latency.
2016:07:06 03:27:42,755 records sent, 139.2 records/sec (13.27 MB/sec), 1337.1 ms avg latency, 3783.0 max latency.
2016:07:06 03:27:47,415 records sent, 83.0 records/sec (7.92 MB/sec), 3931.1 ms avg latency, 4616.0 max latency.
2016:07:06 03:27:54,451 records sent, 62.1 records/sec (5.93 MB/sec), 3685.8 ms avg latency, 6546.0 max latency.
2016:07:06 03:28:02,636 records sent, 84.7 records/sec (8.08 MB/sec), 4603.4 ms avg latency, 6626.0 max latency.
2016:07:06 03:28:07,293 records sent, 58.2 records/sec (5.55 MB/sec), 5744.4 ms avg latency, 8252.0 max latency.
2016:07:06 03:28:13,376 records sent, 63.0 records/sec (6.01 MB/sec), 5235.0 ms avg latency, 8227.0 max latency.
2016:07:06 03:28:18,431 records sent, 86.2 records/sec (8.22 MB/sec), 5277.2 ms avg latency, 5772.0 max latency.
2016:07:06 03:28:23,470 records sent, 93.7 records/sec (8.93 MB/sec), 3215.8 ms avg latency, 4355.0 max latency.
2016:07:06 03:28:28,322 records sent, 64.3 records/sec (6.13 MB/sec), 5495.1 ms avg latency, 7205.0 max latency.
2016:07:06 03:28:33,116 records sent, 23.2 records/sec (2.21 MB/sec), 7665.2 ms avg latency, 8957.0 max latency.
2016:07:06 03:28:39,245 records sent, 40.2 records/sec (3.83 MB/sec), 8489.3 ms avg latency, 10741.0 max latency.
2016:07:06 03:28:49,37 records sent, 3.9 records/sec (0.37 MB/sec), 11190.8 ms avg latency, 16445.0 max latency.
2016:07:06 03:28:55,296 records sent, 48.6 records/sec (4.63 MB/sec), 15447.0 ms avg latency, 17956.0 max latency.
2016:07:06 03:29:00,221 records sent, 44.1 records/sec (4.21 MB/sec), 8400.7 ms avg latency, 17957.0 max latency.
2016:07:06 03:29:05,145 records sent, 28.8 records/sec (2.75 MB/sec), 10187.8 ms avg latency, 13569.0 max latency.
2016:07:06 03:29:10,252 records sent, 50.4 records/sec (4.81 MB/sec), 9923.0 ms avg latency, 12411.0 max latency.
2016:07:06 03:29:15,167 records sent, 33.1 records/sec (3.16 MB/sec), 7587.0 ms avg latency, 9399.0 max latency.
2016:07:06 03:29:20,234 records sent, 46.8 records/sec (4.46 MB/sec), 8017.2 ms avg latency, 9828.0 max latency.
2016:07:06 03:29:25,520 records sent, 103.0 records/sec (9.82 MB/sec), 4855.8 ms avg latency, 9217.0 max latency.
2016:07:06 03:29:34,296 records sent, 32.0 records/sec (3.05 MB/sec), 2902.5 ms avg latency, 9541.0 max latency.
2016:07:06 03:29:40,78 records sent, 13.8 records/sec (1.32 MB/sec), 9822.8 ms avg latency, 14667.0 max latency.
2016:07:06 03:29:46,767 records sent, 124.6 records/sec (11.88 MB/sec), 6256.0 ms avg latency, 14698.0 max latency.
2016:07:06 03:29:53,737 records sent, 108.3 records/sec (10.33 MB/sec), 3253.7 ms avg latency, 4790.0 max latency.
2016:07:06 03:29:58,236 records sent, 47.0 records/sec (4.48 MB/sec), 5056.2 ms avg latency, 8007.0 max latency.
2016:07:06 03:30:03,481 records sent, 95.8 records/sec (9.14 MB/sec), 5751.4 ms avg latency, 7965.0 max latency.
2016:07:06 03:30:10,423 records sent, 59.0 records/sec (5.62 MB/sec), 3078.8 ms avg latency, 6538.0 max latency.
2016:07:06 03:30:15,233 records sent, 46.5 records/sec (4.44 MB/sec), 7658.3 ms avg latency, 9502.0 max latency.
2016:07:06 03:30:22,324 records sent, 49.1 records/sec (4.68 MB/sec), 6084.7 ms avg latency, 9394.0 max latency.
2016:07:06 03:30:27,350 records sent, 68.5 records/sec (6.53 MB/sec), 6472.6 ms avg latency, 6772.0 max latency.
2016:07:06 03:30:33,410 records sent, 62.6 records/sec (5.97 MB/sec), 4625.7 ms avg latency, 5996.0 max latency.
2016:07:06 03:30:39,360 records sent, 66.3 records/sec (6.33 MB/sec), 5752.1 ms avg latency, 6047.0 max latency.
2016:07:06 03:30:44,293 records sent, 54.6 records/sec (5.20 MB/sec), 5346.3 ms avg latency, 8250.0 max latency.
2016:07:06 03:30:49,302 records sent, 56.7 records/sec (5.40 MB/sec), 6069.4 ms avg latency, 8501.0 max latency.
2016:07:06 03:30:55,205 records sent, 39.6 records/sec (3.78 MB/sec), 6064.3 ms avg latency, 9127.0 max latency.
