2016:07:06 03:27:22,5001 records sent, 1000.2 records/sec (95.39 MB/sec), 117.2 ms avg latency, 392.0 max latency.
2016:07:06 03:27:27,5007 records sent, 1001.2 records/sec (95.48 MB/sec), 4.2 ms avg latency, 43.0 max latency.
2016:07:06 03:27:32,2299 records sent, 459.8 records/sec (43.85 MB/sec), 302.0 ms avg latency, 2787.0 max latency.
2016:07:06 03:27:37,4025 records sent, 801.8 records/sec (76.46 MB/sec), 440.2 ms avg latency, 2706.0 max latency.
2016:07:06 03:27:42,701 records sent, 131.5 records/sec (12.54 MB/sec), 1369.7 ms avg latency, 3821.0 max latency.
2016:07:06 03:27:47,427 records sent, 85.4 records/sec (8.14 MB/sec), 3912.3 ms avg latency, 4559.0 max latency.
2016:07:06 03:27:54,449 records sent, 61.8 records/sec (5.90 MB/sec), 3650.6 ms avg latency, 6546.0 max latency.
2016:07:06 03:28:02,622 records sent, 82.8 records/sec (7.90 MB/sec), 4660.1 ms avg latency, 6602.0 max latency.
2016:07:06 03:28:07,293 records sent, 58.6 records/sec (5.59 MB/sec), 5818.3 ms avg latency, 8269.0 max latency.
2016:07:06 03:28:13,372 records sent, 61.9 records/sec (5.91 MB/sec), 5243.8 ms avg latency, 8225.0 max latency.
2016:07:06 03:28:21,365 records sent, 47.3 records/sec (4.51 MB/sec), 5534.3 ms avg latency, 7523.0 max latency.
2016:07:06 03:28:26,250 records sent, 45.9 records/sec (4.38 MB/sec), 9578.3 ms avg latency, 10858.0 max latency.
2016:07:06 03:28:32,160 records sent, 28.3 records/sec (2.69 MB/sec), 8397.3 ms avg latency, 11399.0 max latency.
2016:07:06 03:28:39,328 records sent, 44.8 records/sec (4.28 MB/sec), 8506.2 ms avg latency, 10600.0 max latency.
2016:07:06 03:28:49,21 records sent, 2.2 records/sec (0.21 MB/sec), 9769.2 ms avg latency, 16626.0 max latency.
2016:07:06 03:28:55,279 records sent, 45.8 records/sec (4.37 MB/sec), 15837.9 ms avg latency, 18578.0 max latency.
2016:07:06 03:29:00,220 records sent, 44.0 records/sec (4.19 MB/sec), 9982.3 ms avg latency, 18616.0 max latency.
2016:07:06 03:29:05,148 records sent, 29.4 records/sec (2.80 MB/sec), 9883.6 ms avg latency, 13422.0 max latency.
2016:07:06 03:29:10,262 records sent, 52.4 records/sec (5.00 MB/sec), 9612.8 ms avg latency, 12187.0 max latency.
2016:07:06 03:29:15,185 records sent, 36.7 records/sec (3.50 MB/sec), 7360.7 ms avg latency, 9355.0 max latency.
2016:07:06 03:29:20,229 records sent, 45.8 records/sec (4.37 MB/sec), 7641.6 ms avg latency, 9590.0 max latency.
2016:07:06 03:29:25,538 records sent, 106.5 records/sec (10.16 MB/sec), 4756.6 ms avg latency, 9177.0 max latency.
2016:07:06 03:29:34,226 records sent, 24.5 records/sec (2.34 MB/sec), 3255.0 ms avg latency, 9892.0 max latency.
2016:07:06 03:29:40,92 records sent, 16.1 records/sec (1.54 MB/sec), 10148.4 ms avg latency, 15055.0 max latency.
2016:07:06 03:29:46,731 records sent, 119.3 records/sec (11.38 MB/sec), 6491.7 ms avg latency, 15099.0 max latency.
2016:07:06 03:29:53,718 records sent, 105.5 records/sec (10.06 MB/sec), 3346.9 ms avg latency, 4822.0 max latency.
2016:07:06 03:29:58,244 records sent, 48.6 records/sec (4.64 MB/sec), 4956.6 ms avg latency, 7906.0 max latency.
2016:07:06 03:30:03,458 records sent, 91.3 records/sec (8.70 MB/sec), 5917.8 ms avg latency, 7962.0 max latency.
2016:07:06 03:30:10,411 records sent, 57.3 records/sec (5.46 MB/sec), 3255.9 ms avg latency, 6586.0 max latency.
2016:07:06 03:30:15,230 records sent, 45.9 records/sec (4.38 MB/sec), 7786.8 ms avg latency, 9588.0 max latency.
2016:07:06 03:30:22,323 records sent, 48.9 records/sec (4.67 MB/sec), 6157.7 ms avg latency, 9436.0 max latency.
2016:07:06 03:30:27,351 records sent, 68.6 records/sec (6.54 MB/sec), 6416.2 ms avg latency, 6734.0 max latency.
2016:07:06 03:30:33,402 records sent, 61.4 records/sec (5.86 MB/sec), 4720.2 ms avg latency, 6073.0 max latency.
2016:07:06 03:30:39,352 records sent, 64.9 records/sec (6.19 MB/sec), 5870.8 ms avg latency, 6072.0 max latency.
2016:07:06 03:30:44,294 records sent, 54.8 records/sec (5.22 MB/sec), 5372.8 ms avg latency, 8251.0 max latency.
2016:07:06 03:30:49,301 records sent, 56.5 records/sec (5.38 MB/sec), 6021.1 ms avg latency, 8502.0 max latency.
2016:07:06 03:30:55,204 records sent, 39.4 records/sec (3.76 MB/sec), 6119.1 ms avg latency, 9249.0 max latency.
