2016:07:06 04:04:56,3992 records sent, 798.2 records/sec (77.95 MB/sec), 262.4 ms avg latency, 436.0 max latency.
2016:07:06 04:05:01,3847 records sent, 769.4 records/sec (75.14 MB/sec), 73.6 ms avg latency, 359.0 max latency.
2016:07:06 04:05:06,4166 records sent, 833.2 records/sec (81.37 MB/sec), 41.9 ms avg latency, 341.0 max latency.
2016:07:06 04:05:11,4002 records sent, 794.7 records/sec (77.61 MB/sec), 39.5 ms avg latency, 336.0 max latency.
2016:07:06 04:05:16,4032 records sent, 806.4 records/sec (78.75 MB/sec), 46.8 ms avg latency, 385.0 max latency.
2016:07:06 04:05:21,4002 records sent, 800.2 records/sec (78.15 MB/sec), 10.5 ms avg latency, 119.0 max latency.
2016:07:06 04:05:26,4003 records sent, 800.3 records/sec (78.15 MB/sec), 11.9 ms avg latency, 188.0 max latency.
2016:07:06 04:05:31,4004 records sent, 800.6 records/sec (78.19 MB/sec), 42.9 ms avg latency, 394.0 max latency.
2016:07:06 04:05:36,4003 records sent, 800.6 records/sec (78.18 MB/sec), 5.8 ms avg latency, 81.0 max latency.
2016:07:06 04:05:41,4001 records sent, 800.2 records/sec (78.14 MB/sec), 32.1 ms avg latency, 378.0 max latency.
2016:07:06 04:05:46,3030 records sent, 602.7 records/sec (58.86 MB/sec), 285.5 ms avg latency, 846.0 max latency.
2016:07:06 04:05:51,2804 records sent, 560.8 records/sec (54.77 MB/sec), 581.2 ms avg latency, 872.0 max latency.
2016:07:06 04:05:56,2852 records sent, 569.7 records/sec (55.64 MB/sec), 575.2 ms avg latency, 842.0 max latency.
2016:07:06 04:06:01,1903 records sent, 380.6 records/sec (37.17 MB/sec), 848.3 ms avg latency, 1129.0 max latency.
2016:07:06 04:06:06,1822 records sent, 364.4 records/sec (35.59 MB/sec), 880.4 ms avg latency, 1333.0 max latency.
2016:07:06 04:06:11,1991 records sent, 397.5 records/sec (38.82 MB/sec), 841.0 ms avg latency, 1085.0 max latency.
2016:07:06 04:06:16,1838 records sent, 365.7 records/sec (35.71 MB/sec), 871.4 ms avg latency, 1119.0 max latency.
2016:07:06 04:06:21,1794 records sent, 358.8 records/sec (35.04 MB/sec), 933.5 ms avg latency, 1269.0 max latency.
2016:07:06 04:06:26,1803 records sent, 359.1 records/sec (35.07 MB/sec), 897.1 ms avg latency, 1072.0 max latency.
2016:07:06 04:06:31,1957 records sent, 391.4 records/sec (38.22 MB/sec), 886.7 ms avg latency, 1258.0 max latency.
2016:07:06 04:06:37,1959 records sent, 389.4 records/sec (38.03 MB/sec), 808.4 ms avg latency, 1264.0 max latency.
2016:07:06 04:06:42,1879 records sent, 375.3 records/sec (36.66 MB/sec), 886.4 ms avg latency, 1137.0 max latency.
2016:07:06 04:06:47,1841 records sent, 368.0 records/sec (35.94 MB/sec), 868.0 ms avg latency, 1079.0 max latency.
2016:07:06 04:06:52,1970 records sent, 392.0 records/sec (38.28 MB/sec), 865.4 ms avg latency, 1098.0 max latency.
2016:07:06 04:06:57,3011 records sent, 602.2 records/sec (58.81 MB/sec), 566.4 ms avg latency, 986.0 max latency.
2016:07:06 04:07:02,5727 records sent, 1136.8 records/sec (111.01 MB/sec), 288.1 ms avg latency, 604.0 max latency.
2016:07:06 04:07:07,5926 records sent, 1185.2 records/sec (115.74 MB/sec), 275.4 ms avg latency, 373.0 max latency.
2016:07:06 04:07:12,3807 records sent, 759.3 records/sec (74.15 MB/sec), 428.0 ms avg latency, 934.0 max latency.
2016:07:06 04:07:17,3168 records sent, 633.6 records/sec (61.88 MB/sec), 514.0 ms avg latency, 666.0 max latency.
2016:07:06 04:07:22,3150 records sent, 630.0 records/sec (61.52 MB/sec), 520.8 ms avg latency, 883.0 max latency.
2016:07:06 04:07:27,3061 records sent, 612.2 records/sec (59.79 MB/sec), 533.7 ms avg latency, 973.0 max latency.
2016:07:06 04:07:32,3066 records sent, 612.6 records/sec (59.82 MB/sec), 534.8 ms avg latency, 740.0 max latency.
2016:07:06 04:07:37,3051 records sent, 609.8 records/sec (59.55 MB/sec), 539.6 ms avg latency, 958.0 max latency.
2016:07:06 04:07:42,3081 records sent, 613.4 records/sec (59.90 MB/sec), 530.0 ms avg latency, 840.0 max latency.
2016:07:06 04:07:48,1756 records sent, 280.1 records/sec (27.35 MB/sec), 554.5 ms avg latency, 3928.0 max latency.
2016:07:06 04:07:57,2 records sent, 0.2 records/sec (0.02 MB/sec), 8371.0 ms avg latency, 12813.0 max latency.
2016:07:06 04:08:02,1019 records sent, 200.8 records/sec (19.61 MB/sec), 4846.6 ms avg latency, 13051.0 max latency.
2016:07:06 04:08:07,149 records sent, 29.7 records/sec (2.90 MB/sec), 6643.1 ms avg latency, 7953.0 max latency.
2016:07:06 04:08:12,287 records sent, 57.0 records/sec (5.57 MB/sec), 7448.5 ms avg latency, 8564.0 max latency.
2016:07:06 04:08:18,144 records sent, 22.7 records/sec (2.22 MB/sec), 6001.2 ms avg latency, 9865.0 max latency.
2016:07:06 04:08:24,268 records sent, 49.3 records/sec (4.81 MB/sec), 8695.4 ms avg latency, 10264.0 max latency.
2016:07:06 04:08:29,332 records sent, 61.6 records/sec (6.01 MB/sec), 6573.7 ms avg latency, 10265.0 max latency.
