2016:07:06 04:04:56,3842 records sent, 768.4 records/sec (75.04 MB/sec), 317.4 ms avg latency, 440.0 max latency.
2016:07:06 04:05:01,3978 records sent, 795.6 records/sec (77.70 MB/sec), 220.2 ms avg latency, 513.0 max latency.
2016:07:06 04:05:06,4186 records sent, 837.2 records/sec (81.76 MB/sec), 46.5 ms avg latency, 342.0 max latency.
2016:07:06 04:05:11,3975 records sent, 794.4 records/sec (77.57 MB/sec), 36.1 ms avg latency, 336.0 max latency.
2016:07:06 04:05:16,4032 records sent, 806.4 records/sec (78.75 MB/sec), 45.6 ms avg latency, 390.0 max latency.
2016:07:06 04:05:21,4002 records sent, 800.2 records/sec (78.15 MB/sec), 10.9 ms avg latency, 120.0 max latency.
2016:07:06 04:05:26,4001 records sent, 800.0 records/sec (78.13 MB/sec), 11.6 ms avg latency, 187.0 max latency.
2016:07:06 04:05:31,4003 records sent, 800.6 records/sec (78.18 MB/sec), 39.5 ms avg latency, 394.0 max latency.
2016:07:06 04:05:36,4001 records sent, 799.9 records/sec (78.11 MB/sec), 6.0 ms avg latency, 82.0 max latency.
2016:07:06 04:05:41,4003 records sent, 800.4 records/sec (78.17 MB/sec), 32.8 ms avg latency, 378.0 max latency.
2016:07:06 04:05:46,2977 records sent, 591.8 records/sec (57.80 MB/sec), 287.7 ms avg latency, 829.0 max latency.
2016:07:06 04:05:51,2753 records sent, 550.6 records/sec (53.77 MB/sec), 596.1 ms avg latency, 869.0 max latency.
2016:07:06 04:05:56,2776 records sent, 554.4 records/sec (54.14 MB/sec), 590.7 ms avg latency, 868.0 max latency.
2016:07:06 04:06:01,1817 records sent, 363.4 records/sec (35.49 MB/sec), 875.0 ms avg latency, 1149.0 max latency.
2016:07:06 04:06:06,1797 records sent, 359.4 records/sec (35.10 MB/sec), 896.9 ms avg latency, 1253.0 max latency.
2016:07:06 04:06:11,1910 records sent, 381.2 records/sec (37.23 MB/sec), 878.2 ms avg latency, 1170.0 max latency.
2016:07:06 04:06:16,1743 records sent, 346.7 records/sec (33.86 MB/sec), 919.7 ms avg latency, 1129.0 max latency.
2016:07:06 04:06:21,1686 records sent, 337.2 records/sec (32.93 MB/sec), 993.2 ms avg latency, 1292.0 max latency.
2016:07:06 04:06:26,1817 records sent, 361.7 records/sec (35.32 MB/sec), 900.8 ms avg latency, 1100.0 max latency.
2016:07:06 04:06:31,1964 records sent, 392.8 records/sec (38.36 MB/sec), 881.1 ms avg latency, 1288.0 max latency.
2016:07:06 04:06:37,1938 records sent, 385.1 records/sec (37.61 MB/sec), 808.4 ms avg latency, 1265.0 max latency.
2016:07:06 04:06:42,1799 records sent, 359.8 records/sec (35.14 MB/sec), 921.7 ms avg latency, 1223.0 max latency.
2016:07:06 04:06:47,1831 records sent, 365.4 records/sec (35.68 MB/sec), 876.3 ms avg latency, 1125.0 max latency.
2016:07:06 04:06:52,1946 records sent, 387.2 records/sec (37.81 MB/sec), 879.7 ms avg latency, 1152.0 max latency.
2016:07:06 04:06:57,2965 records sent, 593.0 records/sec (57.91 MB/sec), 577.1 ms avg latency, 1022.0 max latency.
2016:07:06 04:07:02,5744 records sent, 1139.7 records/sec (111.30 MB/sec), 286.9 ms avg latency, 606.0 max latency.
2016:07:06 04:07:07,5917 records sent, 1182.9 records/sec (115.52 MB/sec), 276.5 ms avg latency, 382.0 max latency.
2016:07:06 04:07:12,3807 records sent, 759.6 records/sec (74.18 MB/sec), 426.7 ms avg latency, 936.0 max latency.
2016:07:06 04:07:17,3178 records sent, 635.3 records/sec (62.05 MB/sec), 512.4 ms avg latency, 677.0 max latency.
2016:07:06 04:07:22,3167 records sent, 633.4 records/sec (61.86 MB/sec), 520.0 ms avg latency, 879.0 max latency.
2016:07:06 04:07:27,3025 records sent, 605.0 records/sec (59.08 MB/sec), 540.1 ms avg latency, 949.0 max latency.
2016:07:06 04:07:32,3012 records sent, 602.3 records/sec (58.82 MB/sec), 541.2 ms avg latency, 751.0 max latency.
2016:07:06 04:07:37,2992 records sent, 597.7 records/sec (58.37 MB/sec), 552.1 ms avg latency, 1023.0 max latency.
2016:07:06 04:07:42,3030 records sent, 603.2 records/sec (58.91 MB/sec), 538.1 ms avg latency, 851.0 max latency.
2016:07:06 04:07:48,1732 records sent, 276.2 records/sec (26.98 MB/sec), 561.4 ms avg latency, 3933.0 max latency.
2016:07:06 04:07:57,39 records sent, 4.4 records/sec (0.43 MB/sec), 4136.7 ms avg latency, 12742.0 max latency.
2016:07:06 04:08:02,1006 records sent, 198.3 records/sec (19.36 MB/sec), 4755.4 ms avg latency, 12982.0 max latency.
2016:07:06 04:08:07,144 records sent, 28.7 records/sec (2.80 MB/sec), 6652.2 ms avg latency, 8026.0 max latency.
2016:07:06 04:08:12,276 records sent, 54.9 records/sec (5.36 MB/sec), 7765.2 ms avg latency, 8736.0 max latency.
2016:07:06 04:08:18,139 records sent, 21.9 records/sec (2.14 MB/sec), 6206.0 ms avg latency, 10154.0 max latency.
2016:07:06 04:08:24,266 records sent, 48.9 records/sec (4.78 MB/sec), 8889.1 ms avg latency, 10339.0 max latency.
2016:07:06 04:08:29,331 records sent, 61.4 records/sec (5.99 MB/sec), 6612.6 ms avg latency, 10339.0 max latency.
