2016:07:06 01:03:08,5470 records sent, 1094.0 records/sec (106.84 MB/sec), 259.6 ms avg latency, 436.0 max latency.
2016:07:06 01:03:13,6184 records sent, 1179.9 records/sec (115.23 MB/sec), 260.2 ms avg latency, 591.0 max latency.
2016:07:06 01:03:18,6168 records sent, 1233.6 records/sec (120.47 MB/sec), 281.6 ms avg latency, 657.0 max latency.
2016:07:06 01:03:23,5344 records sent, 1068.8 records/sec (104.38 MB/sec), 309.5 ms avg latency, 1045.0 max latency.
2016:07:06 01:03:28,4827 records sent, 964.8 records/sec (94.22 MB/sec), 322.3 ms avg latency, 760.0 max latency.
2016:07:06 01:03:33,2430 records sent, 484.3 records/sec (47.29 MB/sec), 680.1 ms avg latency, 1162.0 max latency.
2016:07:06 01:03:38,2674 records sent, 534.8 records/sec (52.23 MB/sec), 622.9 ms avg latency, 1070.0 max latency.
2016:07:06 01:03:43,2943 records sent, 588.6 records/sec (57.48 MB/sec), 558.4 ms avg latency, 625.0 max latency.
2016:07:06 01:03:48,2949 records sent, 589.8 records/sec (57.60 MB/sec), 554.7 ms avg latency, 754.0 max latency.
2016:07:06 01:03:53,2935 records sent, 586.2 records/sec (57.24 MB/sec), 558.5 ms avg latency, 855.0 max latency.
2016:07:06 01:03:58,2946 records sent, 588.3 records/sec (57.45 MB/sec), 563.9 ms avg latency, 1053.0 max latency.
2016:07:06 01:04:03,3018 records sent, 602.6 records/sec (58.85 MB/sec), 536.3 ms avg latency, 995.0 max latency.
2016:07:06 01:04:08,2541 records sent, 508.2 records/sec (49.63 MB/sec), 653.3 ms avg latency, 1157.0 max latency.
2016:07:06 01:04:13,2682 records sent, 536.4 records/sec (52.38 MB/sec), 608.8 ms avg latency, 794.0 max latency.
2016:07:06 01:04:18,3379 records sent, 673.6 records/sec (65.79 MB/sec), 485.9 ms avg latency, 785.0 max latency.
2016:07:06 01:04:23,3145 records sent, 629.0 records/sec (61.43 MB/sec), 525.2 ms avg latency, 952.0 max latency.
2016:07:06 01:04:28,2936 records sent, 587.2 records/sec (57.34 MB/sec), 558.1 ms avg latency, 907.0 max latency.
2016:07:06 01:04:33,2997 records sent, 598.7 records/sec (58.46 MB/sec), 548.9 ms avg latency, 944.0 max latency.
2016:07:06 01:04:38,3062 records sent, 612.4 records/sec (59.80 MB/sec), 538.8 ms avg latency, 660.0 max latency.
2016:07:06 01:04:43,3233 records sent, 645.6 records/sec (63.04 MB/sec), 505.1 ms avg latency, 725.0 max latency.
2016:07:06 01:04:48,3037 records sent, 605.1 records/sec (59.09 MB/sec), 537.5 ms avg latency, 880.0 max latency.
2016:07:06 01:04:53,3036 records sent, 604.9 records/sec (59.07 MB/sec), 545.5 ms avg latency, 811.0 max latency.
2016:07:06 01:04:58,3003 records sent, 598.9 records/sec (58.49 MB/sec), 543.9 ms avg latency, 810.0 max latency.
2016:07:06 01:05:03,2892 records sent, 577.8 records/sec (56.43 MB/sec), 576.1 ms avg latency, 1113.0 max latency.
2016:07:06 01:05:08,3361 records sent, 672.2 records/sec (65.64 MB/sec), 483.2 ms avg latency, 799.0 max latency.
2016:07:06 01:05:13,3206 records sent, 640.9 records/sec (62.59 MB/sec), 516.9 ms avg latency, 803.0 max latency.
2016:07:06 01:05:18,3005 records sent, 597.2 records/sec (58.32 MB/sec), 545.7 ms avg latency, 992.0 max latency.
2016:07:06 01:05:23,3193 records sent, 638.3 records/sec (62.34 MB/sec), 513.8 ms avg latency, 846.0 max latency.
2016:07:06 01:05:28,2938 records sent, 587.6 records/sec (57.38 MB/sec), 555.7 ms avg latency, 829.0 max latency.
2016:07:06 01:05:33,3045 records sent, 609.0 records/sec (59.47 MB/sec), 541.9 ms avg latency, 950.0 max latency.
2016:07:06 01:05:38,3203 records sent, 640.6 records/sec (62.56 MB/sec), 509.8 ms avg latency, 633.0 max latency.
2016:07:06 01:05:43,2891 records sent, 578.2 records/sec (56.46 MB/sec), 568.6 ms avg latency, 880.0 max latency.
2016:07:06 01:05:48,3255 records sent, 650.2 records/sec (63.50 MB/sec), 501.4 ms avg latency, 632.0 max latency.
2016:07:06 01:05:53,3074 records sent, 613.7 records/sec (59.93 MB/sec), 535.8 ms avg latency, 748.0 max latency.
2016:07:06 01:06:00,1284 records sent, 184.8 records/sec (18.05 MB/sec), 847.7 ms avg latency, 5326.0 max latency.
2016:07:06 01:06:06,28 records sent, 5.3 records/sec (0.52 MB/sec), 6968.0 ms avg latency, 10529.0 max latency.
2016:07:06 01:06:12,141 records sent, 22.2 records/sec (2.17 MB/sec), 10589.7 ms avg latency, 16306.0 max latency.
2016:07:06 01:06:17,127 records sent, 24.1 records/sec (2.36 MB/sec), 16813.4 ms avg latency, 19375.0 max latency.
2016:07:06 01:06:22,124 records sent, 23.4 records/sec (2.29 MB/sec), 15898.7 ms avg latency, 20548.0 max latency.
2016:07:06 01:06:28,142 records sent, 28.2 records/sec (2.75 MB/sec), 13352.3 ms avg latency, 17193.0 max latency.
2016:07:06 01:06:33,13 records sent, 2.5 records/sec (0.25 MB/sec), 15483.9 ms avg latency, 18538.0 max latency.
2016:07:06 01:06:39,131 records sent, 22.2 records/sec (2.17 MB/sec), 16945.8 ms avg latency, 19998.0 max latency.
