2016:07:06 01:03:08,5496 records sent, 1099.2 records/sec (107.34 MB/sec), 260.1 ms avg latency, 424.0 max latency.
2016:07:06 01:03:13,6037 records sent, 1130.1 records/sec (110.36 MB/sec), 268.0 ms avg latency, 658.0 max latency.
2016:07:06 01:03:18,6110 records sent, 1222.0 records/sec (119.34 MB/sec), 287.4 ms avg latency, 672.0 max latency.
2016:07:06 01:03:23,5326 records sent, 1065.2 records/sec (104.02 MB/sec), 310.3 ms avg latency, 1058.0 max latency.
2016:07:06 01:03:28,4753 records sent, 950.6 records/sec (92.83 MB/sec), 326.8 ms avg latency, 780.0 max latency.
2016:07:06 01:03:33,2390 records sent, 478.0 records/sec (46.68 MB/sec), 692.3 ms avg latency, 1161.0 max latency.
2016:07:06 01:03:38,2653 records sent, 528.6 records/sec (51.62 MB/sec), 625.3 ms avg latency, 1075.0 max latency.
2016:07:06 01:03:43,2850 records sent, 570.0 records/sec (55.66 MB/sec), 572.5 ms avg latency, 640.0 max latency.
2016:07:06 01:03:48,2868 records sent, 571.4 records/sec (55.80 MB/sec), 581.8 ms avg latency, 801.0 max latency.
2016:07:06 01:03:53,2938 records sent, 587.5 records/sec (57.37 MB/sec), 557.9 ms avg latency, 854.0 max latency.
2016:07:06 01:03:58,2919 records sent, 583.8 records/sec (57.01 MB/sec), 564.6 ms avg latency, 1052.0 max latency.
2016:07:06 01:04:03,2953 records sent, 590.6 records/sec (57.68 MB/sec), 543.1 ms avg latency, 1035.0 max latency.
2016:07:06 01:04:08,2526 records sent, 504.3 records/sec (49.25 MB/sec), 660.0 ms avg latency, 1109.0 max latency.
2016:07:06 01:04:13,2674 records sent, 532.9 records/sec (52.04 MB/sec), 609.0 ms avg latency, 784.0 max latency.
2016:07:06 01:04:18,3397 records sent, 679.4 records/sec (66.35 MB/sec), 486.5 ms avg latency, 795.0 max latency.
2016:07:06 01:04:23,3141 records sent, 627.9 records/sec (61.32 MB/sec), 527.9 ms avg latency, 928.0 max latency.
2016:07:06 01:04:28,2986 records sent, 596.8 records/sec (58.29 MB/sec), 551.3 ms avg latency, 883.0 max latency.
2016:07:06 01:04:33,2877 records sent, 575.4 records/sec (56.19 MB/sec), 568.9 ms avg latency, 941.0 max latency.
2016:07:06 01:04:38,3045 records sent, 609.0 records/sec (59.47 MB/sec), 541.2 ms avg latency, 707.0 max latency.
2016:07:06 01:04:43,3210 records sent, 640.0 records/sec (62.50 MB/sec), 504.2 ms avg latency, 760.0 max latency.
2016:07:06 01:04:48,3055 records sent, 611.0 records/sec (59.67 MB/sec), 539.5 ms avg latency, 854.0 max latency.
2016:07:06 01:04:53,2984 records sent, 596.3 records/sec (58.23 MB/sec), 547.3 ms avg latency, 813.0 max latency.
2016:07:06 01:04:58,3062 records sent, 612.4 records/sec (59.80 MB/sec), 536.5 ms avg latency, 728.0 max latency.
2016:07:06 01:05:03,2790 records sent, 558.0 records/sec (54.49 MB/sec), 593.7 ms avg latency, 1148.0 max latency.
2016:07:06 01:05:08,3321 records sent, 664.2 records/sec (64.86 MB/sec), 490.6 ms avg latency, 837.0 max latency.
2016:07:06 01:05:13,3071 records sent, 614.2 records/sec (59.98 MB/sec), 541.7 ms avg latency, 856.0 max latency.
2016:07:06 01:05:18,2956 records sent, 588.0 records/sec (57.42 MB/sec), 551.0 ms avg latency, 986.0 max latency.
2016:07:06 01:05:23,3103 records sent, 620.6 records/sec (60.61 MB/sec), 531.7 ms avg latency, 904.0 max latency.
2016:07:06 01:05:28,3158 records sent, 631.5 records/sec (61.67 MB/sec), 518.5 ms avg latency, 860.0 max latency.
2016:07:06 01:05:33,2945 records sent, 589.0 records/sec (57.52 MB/sec), 556.6 ms avg latency, 960.0 max latency.
2016:07:06 01:05:38,3204 records sent, 640.8 records/sec (62.58 MB/sec), 508.7 ms avg latency, 634.0 max latency.
2016:07:06 01:05:43,2879 records sent, 575.8 records/sec (56.23 MB/sec), 571.1 ms avg latency, 889.0 max latency.
2016:07:06 01:05:48,3182 records sent, 635.5 records/sec (62.06 MB/sec), 513.1 ms avg latency, 648.0 max latency.
2016:07:06 01:05:53,3138 records sent, 626.7 records/sec (61.20 MB/sec), 526.9 ms avg latency, 727.0 max latency.
2016:07:06 01:05:58,4384 records sent, 876.4 records/sec (85.59 MB/sec), 383.8 ms avg latency, 951.0 max latency.
2016:07:06 01:06:03,5774 records sent, 1154.1 records/sec (112.71 MB/sec), 284.6 ms avg latency, 577.0 max latency.
2016:07:06 01:06:08,5801 records sent, 1160.2 records/sec (113.30 MB/sec), 282.9 ms avg latency, 605.0 max latency.
2016:07:06 01:06:13,5648 records sent, 1128.7 records/sec (110.22 MB/sec), 290.2 ms avg latency, 649.0 max latency.
2016:07:06 01:06:18,6064 records sent, 1212.6 records/sec (118.41 MB/sec), 269.4 ms avg latency, 418.0 max latency.
2016:07:06 01:06:23,5519 records sent, 1103.8 records/sec (107.79 MB/sec), 297.9 ms avg latency, 635.0 max latency.
2016:07:06 01:06:28,5729 records sent, 1142.8 records/sec (111.60 MB/sec), 286.9 ms avg latency, 575.0 max latency.
2016:07:06 01:06:33,5700 records sent, 1138.6 records/sec (111.19 MB/sec), 288.9 ms avg latency, 692.0 max latency.
2016:07:06 01:06:38,6149 records sent, 1226.4 records/sec (119.76 MB/sec), 266.4 ms avg latency, 408.0 max latency.
